Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
5697,330D228001,-85.197621,35.083886,52,2/25/19,23:00,23,43.61,54.82,34.26,27.1,0.52,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,26,15,,,0.059
2641,33SR002001,-85.211097,35.013904,29,2/25/19,10:00,10,39.47,55.13,34.63,20.81,0.47,2,0,7.67,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,,14.907
3180,33I0024002,-85.307401,35.027762,26,2/25/19,12:00,12,46.73,55.37,35.92,23.49,0.4,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,6,8,2,1,11,36,15,,,8.284
2205,3304986001,-85.158706,35.034528,268,2/25/19,9:00,9,38.51,54.96,35.94,20.33,0.48,2,0,6.39,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,3,3,18,4,17,24,15,,,1.464
637,3302205001,-85.070057,35.087633,34,2/25/19,2:00,2,39.94,54.46,34.72,24.57,0.54,2,0,5.96,0.21,rain,0.0003,0.0019,1551128400,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,16,24,15,,,6.149
4506,330E062001,-85.293894,35.015629,43,2/25/19,18:00,18,52.42,55.37,34.58,30.75,0.43,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,30,15,,,0.034
1001,330C353001,-85.205213,35.008709,100,2/25/19,4:00,4,37.64,55.08,35.73,25.66,0.62,2,0,5.51,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,48,15,,,0.461
3021,33SR002001,-85.066688,35.085686,46,2/25/19,12:00,12,46,54.5,34.58,24.55,0.43,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,5,5,21,1,16,24,15,,,20.634
5188,33SR320001,-85.173781,35.017884,67,2/25/19,21:00,21,45.07,54.99,34.74,30.38,0.56,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,5,21,1,14,24,15,,,1.978
1194,33SR320001,-85.153227,35.008538,27,2/25/19,4:00,4,37.64,54.99,35.85,25.53,0.61,2,0,5.5,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,14,22,15,,,3.383
