BLM,ELM,ID_NUMBER,ROW ,No. Lns.,Spd_Limit,Terrain,Land_Use,Illum,Operation,AccCtrl,Sch Spd Limit,Truck Spd Limit
0,0.196,330D741001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.258,330D745001,36,1,20,2,0,-10,2,0,-10,-10
0,0.339,330D750001,32,1,25,2,0,-10,2,0,-10,-10
0,0.211,330D752001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.588,330D758001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.134,330D760001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.14,330D764001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.106,330D765001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.194,330D769001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.07,330D772001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.11,330D776001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.078,330D782001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.32,330D783001,28,1,25,2,7,-10,2,0,-10,-10
0,0.337,330D790001,24,1,-10,2,7,-10,2,0,-10,-10
0,0.11,330D808001,32,1,-10,3,0,-10,2,0,-10,-10
0,0.617,330D837001,36,1,-10,3,0,-10,2,0,-10,-10
0,0.166,330D839001,32,1,-10,3,0,-10,2,0,-10,-10
0,0.07,330D846001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.307,330D850001,36,1,30,2,7,-10,2,0,-10,-10
0,0.042,330D851001,36,1,-10,3,0,-10,2,0,-10,-10
0,0.229,330D863001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.116,330D866001,28,1,-10,2,0,-10,2,0,-10,-10
0,0.071,330D879001,28,1,-10,2,7,-10,2,0,-10,-10
0,0.128,330D881001,32,1,-10,2,7,-10,2,0,-10,-10
0,0.411,330D891001,36,1,-10,2,0,-10,2,0,-10,-10
0,0.623,330D942001,36,1,30,2,0,-10,2,0,-10,-10
0,0.467,330D951001,36,1,-10,2,7,-10,2,0,-10,-10
