BLM,ELM,County,Route,Sp. Case,Co. Seq.,Road_Name,Adm. Sys.,Gov. Cont.,Func. Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,Sp Systems 2,Sp Systems 3,State Aid Code,US Rte Nbr,US Rte Nbr 2,HPMS Sect ID,State Route Designation
0,0.21,33,3551,0,1,ML KING BLVD,16,4,17,52,52,30,,,,,,,
0.21,0.46,33,3551,0,1,ML KING BLVD,16,4,14,52,52,30,,,,,,3.30E+11,
0,0.8,33,3552,0,1,E 4TH ST,18,4,16,52,52,,,,,,,,
0.8,1.97,33,3552,0,1,E 3RD ST,18,4,16,52,52,,,,,,,,
1.97,2.27,33,3552,0,1,E 3RD ST,18,4,16,52,52,,,,,,,3.30E+11,
2.27,2.48,33,3552,0,1,E 3RD ST,18,4,16,52,52,,,,,,,,
2.48,2.86,33,3552,0,1,E 3RD ST,16,4,16,52,52,30,,,,,,,
0,0.54,33,3553,0,1,W MAIN ST ,18,4,16,52,52,,,,,,,,
0,0.57,33,3554,0,1,HOLTZCLAW AVE,16,4,16,52,52,30,,,,,,,
0.57,0.75,33,3554,0,1,HOLTZCLAW AVE,16,4,16,52,52,30,,,,,,3.30E+11,
0.75,2.2,33,3554,0,1,HOLTZCLAW AVE,16,4,16,52,52,30,,,,,,,
0,0.15,33,3556,0,1,WILCOX BLVD,16,4,14,52,52,30,,,,,,3.30E+11,
0.15,0.44,33,3556,0,1,WILCOX BLVD,16,4,14,52,52,30,,,,,,,
0.44,3.32,33,3556,0,1,WILCOX BLVD,18,4,16,52,52,,,,,,,,
3.32,3.48,33,3556,0,1,SHALLOWFORD RD,18,4,16,52,52,,,,,,,,
3.48,3.73,33,3556,0,1,SHALLOWFORD RD,18,4,14,52,52,,,,,,,3.30E+11,
3.73,4.16,33,3556,0,1,SHALLOWFORD RD,18,4,14,52,52,,,,,,,,
4.16,5.05,33,3556,0,1,SHALLOWFORD RD,18,4,14,52,52,,,,,,,3.30E+11,
5.05,5.59,33,3556,0,1,SHALLOWFORD RD,18,4,14,52,52,,,,,,,,
0,2.14,33,3557,0,1,DODDS AVE ,18,4,16,52,52,,,,,,,,
0,0.402,33,3559,0,1,CHESTNUT ST,18,4,17,52,52,,,,,,,3.30E+11,
0.402,0.55,33,3559,0,1,PROPOSED,18,4,17,52,52,,,,,,,,
0.55,1.27,33,3559,0,1,CHESTNUT ST,18,4,17,52,52,,,,,,,,
0,0.12,33,3560,0,1,W 2ND ST,18,4,17,52,52,,,,,,,,
0,0.36,33,3561,0,1,BROAD ST,18,4,16,52,52,,,,,,,,
0.36,0.62,33,3561,0,1,BROAD ST,18,4,16,52,52,,,,,,,3.30E+11,
0,1.03,33,3565,0,1,E 10TH ST,18,4,17,52,52,,,,,,,,
1.03,1.09,33,3565,0,1,W 10TH ST,18,4,17,52,52,,,,,,,,
0,0.05,33,3566,0,1,W 11TH ST,18,4,17,52,52,,,,,,,,
0.05,0.37,33,3566,0,1,E 11TH ST,18,4,17,52,52,,,,,,,,
