"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"319",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0
"322",0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0
"323",0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0
"324",0,0,0,0,0,1,1,0,4,1,0,2,6,3,2,0,8,3,1,0,4,0,0,0
"325",0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,0,3,3,0,0,2,0,0
"326",0,0,0,0,0,1,0,1,0,1,2,1,0,2,0,3,1,0,1,1,0,0,0,0
"327",0,1,0,0,0,0,0,0,0,4,0,2,1,3,1,3,0,2,2,1,0,1,0,0
"328",0,0,0,0,0,2,1,1,3,0,5,3,2,3,4,2,10,4,2,2,1,0,0,0
"329",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0
"331",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,1,0,0,0,0
"333",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"334",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"336",0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0
"343",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"344",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"348",1,0,0,0,0,0,0,1,0,0,0,1,2,4,2,3,0,2,0,1,2,0,0,0
"349",0,1,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"351",0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5,2,0,0,0,0,0,0,0
"353",0,0,0,0,0,0,0,0,0,2,3,0,1,0,0,2,0,0,0,0,0,0,0,0
"354",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"357",0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,5,2,0,0,0,0,0
"358",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"359",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,4,0,2,0,0,0
"360",0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,1,0,0,0,0,0,0
"362",0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
"365",0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,2,0,0,0,0,0,0
"367",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"368",0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,3,0,1,1,0,0,0
"370",0,0,0,0,0,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"371",1,0,0,0,0,1,1,1,10,1,5,4,4,4,3,3,13,11,2,3,2,1,0,1
"372",0,0,0,0,0,0,0,0,4,1,2,7,11,7,6,10,7,4,6,4,1,2,0,0
"373",0,0,0,0,0,0,1,0,0,1,3,3,3,8,7,8,4,1,1,2,1,1,0,1
"374",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"377",0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,2,1,0,0,0,0,0
"378",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"381",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"385",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"386",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"390",0,0,0,0,0,4,2,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,0
"391",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"392",0,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,2,0,1,0,0,0,1,0
"393",0,1,0,0,0,0,1,0,0,0,0,2,1,0,2,2,1,3,0,0,0,0,0,0
