GRID_ID,Join_Count,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Center_Lat,Center_Long
AK-22,1,226,2,2,19,35.03404672,-85.20340042
AL-22,68,227,2,2,19,35.03829126,-85.19604868
AM-22,186,228,4,2,17,35.03404672,-85.18869693
AN-22,164,229,2,2,19,35.03829126,-85.18134519
AO-22,41,230,2,2,19,35.03404672,-85.17399344
AP-22,174,231,2,2,19,35.03829126,-85.1666417
AQ-22,884,232,2,2,17,35.03404672,-85.15928996
AR-22,1359,233,4,2,19,35.03829126,-85.15193821
AS-22,76,234,2,2,19,35.03404672,-85.14458647
AT-22,32,235,2,2,19,35.03829126,-85.13723472
AU-22,92,236,2,2,16,35.03404672,-85.12988298
AW-22,6,237,2,2,19,35.03404672,-85.11517949
N-21,0,238,2,3,18,35.04678032,-85.37249055
O-21,8,239,2,2,19,35.04253579,-85.36513881
P-21,11,240,2,2,19,35.04678032,-85.35778706
Q-21,2,241,4,2,19,35.04253579,-85.35043532
S-21,6,242,2,2,18,35.04253579,-85.33573183
T-21,0,243,1,2,19,35.04678032,-85.32838008
U-21,182,244,2,2,19,35.04253579,-85.32102834
V-21,1252,245,2,2,17,35.04678032,-85.31367659
W-21,543,246,2,2,17,35.04253579,-85.30632485
X-21,430,247,2,2,19,35.04678032,-85.29897311
Y-21,359,248,2,2,19,35.04253579,-85.29162136
Z-21,185,249,2,2,19,35.04678032,-85.28426962
AA-21,255,250,2,2,19,35.04253579,-85.27691787
AB-21,90,251,2,2,19,35.04678032,-85.26956613
AC-21,343,252,2,2,19,35.04253579,-85.26221438
AD-21,74,253,2,2,19,35.04678032,-85.25486264
AE-21,28,254,2,2,19,35.04253579,-85.24751089
AF-21,224,255,2,2,19,35.04678032,-85.24015915
AG-21,54,256,2,2,19,35.04253579,-85.2328074
AH-21,29,257,2,2,19,35.04678032,-85.22545566
AI-21,299,258,4,2,16,35.04253579,-85.21810391
AJ-21,51,259,4,2,14,35.04678032,-85.21075217
AK-21,0,260,2,2,16,35.04253579,-85.20340042
AL-21,16,261,2,2,19,35.04678032,-85.19604868
AM-21,87,262,2,2,19,35.04253579,-85.18869693
AN-21,38,263,2,2,17,35.04678032,-85.18134519
AO-21,24,264,2,2,19,35.04253579,-85.17399344
AP-21,338,265,2,2,19,35.04678032,-85.1666417
AQ-21,833,266,4,2,14,35.04253579,-85.15928996
AR-21,183,267,2,2,19,35.04678032,-85.15193821
AS-21,37,268,2,2,19,35.04253579,-85.14458647
AT-21,15,269,2,2,19,35.04678032,-85.13723472
AU-21,132,270,2,2,16,35.04253579,-85.12988298
AV-21,55,271,2,2,19,35.04678032,-85.12253123
AZ-21,17,272,2,2,17,35.04678032,-85.09312425
N-20,5,273,2,3,18,35.05526938,-85.37249055
O-20,3,274,2,2,19,35.05102485,-85.36513881
P-20,3,275,2,2,19,35.05526938,-85.35778706
Q-20,11,276,2,2,19,35.05102485,-85.35043532
R-20,2,277,2,2,18,35.05526938,-85.34308357
S-20,7,278,2,2,17,35.05102485,-85.33573183
T-20,21,279,2,2,17,35.05526938,-85.32838008
U-20,136,280,4,2,16,35.05102485,-85.32102834
V-20,764,281,6,2,11,35.05526938,-85.31367659
W-20,999,282,2,2,16,35.05102485,-85.30632485
X-20,146,283,2,2,14,35.05526938,-85.29897311
Y-20,452,284,4,2,14,35.05102485,-85.29162136
Z-20,80,285,4,2,14,35.05526938,-85.28426962
AA-20,18,286,2,2,19,35.05102485,-85.27691787
AB-20,134,287,2,2,19,35.05526938,-85.26956613
AC-20,221,288,2,2,19,35.05102485,-85.26221438
AD-20,172,289,2,2,19,35.05526938,-85.25486264
AE-20,87,290,2,2,19,35.05102485,-85.24751089
AF-20,54,291,2,2,19,35.05526938,-85.24015915
AG-20,47,292,2,2,19,35.05102485,-85.2328074
AH-20,12,293,2,2,19,35.05526938,-85.22545566
AI-20,10,294,2,2,19,35.05102485,-85.21810391
AJ-20,102,295,2,2,19,35.05526938,-85.21075217
AK-20,7,296,2,2,16,35.05102485,-85.20340042
AL-20,253,297,4,2,14,35.05526938,-85.19604868
AM-20,267,298,4,2,14,35.05102485,-85.18869693
AN-20,98,299,2,2,19,35.05526938,-85.18134519
AO-20,33,300,2,2,19,35.05102485,-85.17399344
AP-20,10,301,2,2,19,35.05526938,-85.1666417
AQ-20,92,302,2,2,19,35.05102485,-85.15928996
AR-20,63,303,2,2,19,35.05526938,-85.15193821
AS-20,164,304,2,2,16,35.05102485,-85.14458647
AT-20,251,305,2,2,19,35.05526938,-85.13723472
AU-20,82,306,2,2,16,35.05102485,-85.12988298
AV-20,12,307,2,2,19,35.05526938,-85.12253123
