GRID_ID,Join_Count,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS
AA-14,74,504,2,2,19
AB-14,83,505,2,2,19
AC-14,10,506,2,2,19
AD-14,24,507,2,2,19
AE-14,8,508,NA,NA,NA
AF-14,27,509,4,2,16
AG-14,31,510,2,2,19
AH-14,146,511,2,2,16
AJ-14,5,512,NA,NA,NA
AK-14,0,513,2,2,18
AM-14,3,514,2,2,19
AN-14,4,515,2,2,19
AO-14,15,516,5,2,14
AP-14,20,517,2,2,19
AQ-14,163,518,4,2,14
AR-14,23,519,2,2,19
AS-14,3,520,2,2,19
AT-14,31,521,2,2,19
AX-14,1,522,2,2,19
AY-14,2,523,2,2,19
AZ-14,4,524,2,2,19
BE-14,73,525,4,2,11
BF-14,124,526,2,2,19
O-13,23,527,2,2,6
P-13,2,528,2,2,19
Q-13,52,529,2,2,19
S-13,1,530,2,2,19
T-13,61,531,2,3,16
U-13,41,532,2,2,16
V-13,29,533,2,2,19
W-13,27,534,2,2,19
Y-13,74,535,2,2,19
Z-13,21,536,2,2,19
AA-13,20,537,2,2,19
AB-13,43,538,2,2,19
AC-13,176,539,2,2,19
AD-13,208,540,2,2,19
AE-13,50,541,4,2,16
AF-13,5,542,NA,NA,NA
AG-13,248,543,4,2,16
AI-13,63,544,2,2,19
AJ-13,15,545,2,2,19
AK-13,0,546,2,2,18
AN-13,0,547,2,2,19
AO-13,15,548,2,2,19
AP-13,11,549,2,2,19
AQ-13,33,550,2,2,19
AS-13,35,551,4,2,14
AT-13,27,552,2,2,19
AU-13,36,553,2,2,19
AV-13,15,554,2,2,19
AW-13,3,555,2,2,19
BE-13,4,556,NA,NA,NA
U-12,53,557,2,2,19
V-12,60,558,2,2,19
W-12,25,559,2,2,19
X-12,84,560,4,2,19
AA-12,70,561,2,2,19
AB-12,22,562,2,2,19
AC-12,176,563,2,2,16
AD-12,67,564,2,2,19
AE-12,168,565,4,2,19
AF-12,942,566,2,2,19
AG-12,58,567,2,2,12
AH-12,13,568,2,2,19
AI-12,0,569,2,2,19
AJ-12,22,570,2,3,16
AK-12,4,571,2,2,19
AL-12,10,572,2,2,19
AO-12,1,573,2,2,18
AP-12,2,574,2,2,19
AU-12,25,575,2,2,19
AV-12,75,576,2,2,14
U-11,13,577,2,3,16
V-11,24,578,NA,NA,NA
W-11,49,579,2,2,16
X-11,3,580,2,2,19
Y-11,27,581,2,2,19
AB-11,20,582,2,2,19
AC-11,32,583,2,2,19
AD-11,29,584,2,2,19
AE-11,319,585,2,2,19
AF-11,689,586,4,2,14
AG-11,58,587,2,2,17
AH-11,12,588,2,2,19
AI-11,16,589,2,2,16
AJ-11,74,590,2,2,16
AK-11,20,591,2,2,18
AL-11,10,592,2,2,19
AM-11,0,593,2,2,19
AN-11,0,594,2,2,19
AP-11,0,595,2,2,19
AU-11,1,596,2,2,19
V-10,33,597,2,3,16
W-10,6,598,2,2,18
X-10,5,599,2,2,18
Y-10,19,600,4,2,12
Z-10,5,601,2,2,19
AB-10,21,602,2,2,19
AC-10,32,603,2,2,19
AD-10,93,604,2,2,19
AE-10,430,605,6,2,14
AF-10,230,606,2,2,19
AG-10,123,607,2,2,17
AH-10,33,608,2,2,19
AI-10,0,609,2,2,19
AJ-10,16,610,2,2,16
AK-10,10,611,2,3,17
AL-10,2,612,2,2,19
AM-10,3,613,2,2,19
AN-10,2,614,2,2,19
AP-10,1,615,2,2,19
AQ-10,5,616,2,2,19
W-9,0,617,1,2,19
X-9,3,618,2,2,18
Y-9,8,619,4,2,12
Z-9,5,620,2,2,18
AA-9,51,621,2,2,19
AB-9,31,622,2,2,19
AC-9,81,623,2,2,19
AD-9,118,624,2,2,19
AE-9,491,625,2,2,19
AF-9,56,626,2,2,19
AG-9,139,627,2,2,19
AH-9,97,628,2,2,19
AI-9,61,629,4,2,14
AJ-9,75,630,2,2,19
AK-9,25,631,2,2,19
AL-9,35,632,2,2,19
AM-9,13,633,2,2,19
AN-9,5,634,2,2,19
AO-9,1,635,2,2,19
Y-8,18,636,4,2,12
Z-8,19,637,2,2,18
AA-8,5,638,2,2,19
AB-8,8,639,2,2,19
AC-8,2,640,2,2,19
AD-8,13,641,2,2,19
AE-8,447,642,2,2,19
AF-8,12,643,2,2,19
AG-8,2,644,2,2,19
AH-8,27,645,1,2,19
AI-8,87,646,2,2,16
AJ-8,24,647,2,2,19
AK-8,101,648,2,2,19
AL-8,64,649,2,2,19
AM-8,10,650,2,2,19
Y-7,0,651,2,2,19
Z-7,18,652,4,2,12
AA-7,3,653,2,2,19
AB-7,0,654,2,2,19
AC-7,6,655,2,2,19
AD-7,29,656,2,2,19
AE-7,162,657,2,2,19
AF-7,7,658,2,2,19
AG-7,5,659,2,2,19
AH-7,10,660,2,2,19
AI-7,9,661,2,2,19
AJ-7,37,662,2,2,19
AK-7,11,663,2,2,19
AL-7,11,664,2,2,19
AM-7,24,665,2,2,17
AN-7,14,666,2,2,19
Z-6,0,667,2,3,19
AA-6,11,668,2,2,19
AC-6,14,669,2,2,19
AD-6,31,670,2,2,19
AE-6,44,671,4,2,19
AF-6,1,672,2,2,19
AG-6,7,673,2,2,19
AI-6,3,674,2,2,19
AK-6,41,675,2,2,19
AL-6,1,676,2,2,19
AM-6,12,677,2,2,19
AC-5,7,678,2,2,19
AD-5,27,679,2,2,19
AE-5,176,680,4,2,14
AF-5,16,681,2,2,16
AG-5,17,682,2,2,19
AK-5,36,683,2,2,19
AE-4,212,684,4,2,12
AF-4,36,685,4,2,12
AG-4,0,686,2,2,19
AH-4,3,687,2,2,19
AF-3,16,688,4,2,12
AG-3,4,689,4,2,12
AH-3,1,690,2,2,19
AG-2,25,691,4,2,12
AH-2,18,692,5,2,12
AI-2,1,693,2,2,19
AI-1,75,694,2,2,12
