Longitude,Latitude,Hour,Date
-85.20209,35.08401,12,4/18/2020
-85.3179,35.08417,12,4/18/2020
-85.317611,35.083977,12,4/18/2020
-85.20209,35.08401,12,4/18/2020
-85.20209,35.08401,12,4/18/2020
-85.338696,35.020715,12,4/18/2020
-85.319627,35.068734,13,4/18/2020
-85.208101,35.205302,13,4/18/2020
-85.279681,35.017935,14,4/18/2020
-85.2062,35.173346,14,4/18/2020
-85.107257,35.037255,14,4/18/2020
-85.289436,34.99126,15,4/18/2020
-85.328654,35.099787,17,4/18/2020
-85.292166,35.001399,18,4/18/2020
-85.290979,35.00156,18,4/18/2020
-85.290979,35.00156,18,4/18/2020
-85.358132,35.103957,18,4/18/2020
-85.358132,35.103957,18,4/18/2020
-85.358132,35.103957,18,4/18/2020
-85.358132,35.103957,18,4/18/2020
-85.332368,35.103862,18,4/18/2020
-85.358132,35.103957,18,4/18/2020
-85.284954,35.008011,18,4/18/2020
-85.284954,35.008011,18,4/18/2020
-85.284954,35.008011,18,4/18/2020
-85.284954,35.008011,18,4/18/2020
-85.228241,35.062809,19,4/18/2020
-85.229235,35.061881,19,4/18/2020
-85.140582,35.05636,19,4/18/2020
-85.15065,35.012308,21,4/18/2020
-85.277129,35.009093,22,4/18/2020
-85.258137,35.121195,22,4/18/2020
-85.263556,35.122231,23,4/18/2020
-85.184238,35.012866,0,4/19/2020
-85.271409,35.01899,5,4/19/2020
-85.210851,34.989972,9,4/19/2020
-85.210851,34.989972,9,4/19/2020
-85.210455,34.989184,9,4/19/2020
-85.252215,35.146073,10,4/19/2020
-85.146232,35.012507,11,4/19/2020
-85.308969,35.060157,11,4/19/2020
-85.309637,35.056669,11,4/19/2020
-85.308969,35.060157,11,4/19/2020
-85.308969,35.060157,11,4/19/2020
-85.157252,35.012426,11,4/19/2020
-85.157252,35.012426,11,4/19/2020
-85.157252,35.012426,11,4/19/2020
-85.151676,35.005196,11,4/19/2020
-85.151676,35.005196,11,4/19/2020
-85.151676,35.005196,11,4/19/2020
-85.151676,35.005196,11,4/19/2020
-85.151676,35.005196,11,4/19/2020
-85.313794,35.087913,13,4/19/2020
-85.21891,35.004771,14,4/19/2020
-85.307245,34.991609,14,4/19/2020
-85.264895,35.0545,14,4/19/2020
-85.149432,35.004045,15,4/19/2020
-85.24561,35.13569,15,4/19/2020
-84.998102,35.262587,15,4/19/2020
-85.282272,34.997385,16,4/19/2020
-85.243483,34.997274,17,4/19/2020
-84.994019,35.369206,17,4/19/2020
-85.22897,35.102832,17,4/19/2020
-84.994019,35.369206,17,4/19/2020
-84.994019,35.369206,17,4/19/2020
-85.2379,35.04457,18,4/19/2020
-85.21942,35.109217,19,4/19/2020
-85.216331,35.111339,19,4/19/2020
-85.216331,35.111339,19,4/19/2020
-85.166282,35.046274,19,4/19/2020
-85.180556,35.025317,21,4/19/2020
-85.204759,35.080706,22,4/19/2020
-85.178406,35.024883,3,4/20/2020
-85.250768,35.013617,4,4/20/2020
-85.237709,35.008661,4,4/20/2020
-85.231596,35.006421,5,4/20/2020
-85.247413,35.012249,5,4/20/2020
-85.407025,34.985369,5,4/20/2020
-85.232735,35.006514,6,4/20/2020
-85.232735,35.006514,6,4/20/2020
-85.232735,35.006514,6,4/20/2020
-85.156751,35.032142,6,4/20/2020
