Accident,Center_Lat,Center_Long,Date,Time,Hour,DayFrame,WeekDay,WeekEnd,Precipitation_Intensity,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Weekday,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
0,-85.0576865,-85.0576865,2/21/18,11:00:00,11,3,1,0,0,0,1,0,0,0,0,762,2,43,6,0,0,3
0,-85.0576865,-85.0576865,6/29/18,14:00:00,14,4,1,0,0,0,1,0,0,0,0,762,4,43,6,0,0,3
0,-85.27150609,-85.27150609,12/1/18,9:00:00,9,2,0,1,0.11,0,0,1,0,0,1,131,5,20,21,0,7,22
0,-85.25942213,-85.25942213,5/29/18,12:00:00,12,3,1,0,0.006,0,0,1,0,0,1,56,1,23,24,0,7,21
0,-85.25942213,-85.25942213,8/5/18,14:00:00,14,4,0,1,0.009,0,1,0,0,0,0,56,6,23,24,0,7,21
0,-85.25942213,-85.25942213,5/4/18,10:00:00,10,3,1,0,0,0,1,0,0,0,0,56,4,23,24,0,7,21
0,-85.25942213,-85.25942213,5/11/18,10:00:00,10,3,1,0,0,1,0,0,0,0,0,56,4,23,24,0,7,21
0,-85.25942213,-85.25942213,2/27/18,11:00:00,11,3,1,0,0,0,1,0,0,0,0,56,1,23,24,0,7,21
0,-85.1513744,-85.1513744,5/18/18,10:00:00,10,3,1,0,0,0,1,0,0,0,0,373,4,34,15,0,7,6
0,-85.1513744,-85.1513744,3/28/18,2:00:00,2,1,1,0,0,0,1,0,0,0,0,373,2,34,15,0,7,6
0,-85.1513744,-85.1513744,6/11/18,23:00:00,23,1,1,0,0,0,1,0,0,0,0,373,0,34,15,0,7,6
0,-85.1513744,-85.1513744,8/15/18,12:00:00,12,3,1,0,0,1,0,0,0,0,0,373,2,34,15,0,7,6
0,-85.23627077,-85.23627077,8/11/18,5:00:00,5,2,0,1,0,0,1,0,0,0,0,199,5,24,19,0,7,32
