,Unnamed: 0,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
2196,4062,33SR153001,-85.221427,35.091719,34,2/25/19,16:00,16,55.31,55.31,34.28,28.21,0.35,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,4,2,2,4,6,13,1,12,24,15,,0.5062184,5.772,1
4614,3641,33SR153001,-85.239439,35.12384,28,2/25/19,14:00,14,54.08,55.56,33.79,16.84,0.23,2,0,9.23,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,0.52293277,8.305,1
5789,3459,33I0024002,-85.380506,35.021426,79,2/25/19,14:00,14,54.07,55.5,34.7,15.33,0.21,2,0,5.79,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,6,2,1,11,24,15,,0.6713841,3.177,1
102,2969,33I0024002,-85.380506,35.021426,79,2/25/19,12:00,12,48.88,55.5,34.7,12,0.22,2,0,5.35,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,6,2,1,11,24,15,,0.5016959,3.177,1
421,3993,33I0024002,-85.322434,35.028932,47,2/25/19,16:00,16,55.77,55.77,35.73,28.02,0.34,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,0.50919664,7.279,1
2828,3278,3303588001,-85.256848,35.114504,43,2/25/19,13:00,13,51.74,55.55,33.44,13.65,0.22,2,0,8.87,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,16,4,14,24,15,,0.500384,2.836,1
5004,3682,33I0024002,-85.28069,35.016491,136,2/25/19,15:00,15,55.09,55.62,33.97,23.94,0.3,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,2,2,6,6,2,1,11,36,15,,0.51093966,10.06,1
4531,3871,33I0024002,-85.28446,35.017606,29,2/25/19,15:00,15,55.16,55.68,34.48,23.83,0.29,2,0,10,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,2,2,6,7,2,1,11,36,15,,0.5088383,9.834,1
260,4092,33I0024002,-85.322207,35.029902,31,2/25/19,16:00,16,55.75,55.75,36.04,28.02,0.34,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,4,4,2,1,11,24,15,,0.51803637,7.343,1
4342,3847,33I0024002,-85.322207,35.029902,31,2/25/19,15:00,15,55.55,55.75,36.04,23.39,0.28,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,2,2,4,4,2,1,11,24,15,,0.5422493,7.343,1
3981,4483,33I0024002,-85.322434,35.028932,47,2/25/19,18:00,18,52.96,55.77,35.73,30.55,0.42,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,0.5001507,7.279,1
3260,3990,33I0024002,-85.383202,35.018934,48,2/25/19,16:00,16,55.46,55.46,34.7,27.8,0.34,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.50426364,2.945,1
