,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Daily_Avg_Temp,Monthly_Avg_Temp,Relative_Temp,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Illumination,Operation,Speed_Limit,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,AADT,DHV,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
76,33I0075001,-85.163223,35.035572,47,2/25/19,0:00,0,54.03,60.56,45.61,,,,50.37,0.87,2,,6.85,0.35,rain,0.0126,0.1296,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
77,3305403001,-85.290932,35.041926,47,2/25/19,0:00,0,53.92,61.52,45.77,,,,50.4,0.88,2,,3.92,0.35,rain,0.0149,0.1558,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
78,33SR317001,-85.156379,35.071531,47,2/25/19,0:00,0,54,60.33,45.47,,,,50.37,0.87,2,,6.45,0.35,rain,0.0131,0.1331,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
79,3301122001,-85.150002,35.040336,46,2/25/19,0:00,0,54.04,60.44,45.47,,,,50.38,0.87,2,,7.03,0.35,rain,0.0119,0.1199,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
80,33I0024002,-85.253185,35.015252,46,2/25/19,0:00,0,53.33,60.43,45.32,,,,49.96,0.88,2,,5.64,0.35,rain,0.0144,0.147,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
81,33SR002001,-85.066688,35.085686,46,2/25/19,0:00,0,53.88,59.67,44.93,,,,50.79,0.89,2,,8.06,0.35,rain,0.0111,0.1111,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
82,3303580001,-85.164109,35.044762,46,2/25/19,0:00,0,54.01,60.65,45.65,,,,50.37,0.87,2,,6.68,0.35,rain,0.0127,0.1307,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
83,33I0024002,-85.254192,35.015818,46,2/25/19,0:00,0,53.35,60.4,45.29,,,,49.97,0.88,2,,5.61,0.35,rain,0.0144,0.147,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
84,33I0075001,-85.112125,35.073843,45,2/25/19,0:00,0,54.19,59.32,44.57,,,,50.62,0.88,2,,7.3,0.35,rain,0.0124,0.1264,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
85,33I0024002,-85.399306,34.9933,45,2/25/19,0:00,0,55.49,62.32,45.73,,,,51.73,0.87,2,,0.95,0.35,rain,0.0138,0.1536,1550995200,clear-night,rain,Clear,Light Rain,,,,,,,,,,,,,,,,,,,,,,,,
86,33I0024002,-85.366708,35.027029,45,2/25/19,0:00,0,55.03,62.34,45.84,,,,51.28,0.87,2,,1.28,0.35,rain,0.0147,0.1577,1550995200,fog,rain,Foggy,Light Rain,,,,,,,,,,,,,,,,,,,,,,,,
87,330F888001,-85.149705,35.037485,45,2/25/19,0:00,0,54.04,60.44,45.48,,,,50.38,0.87,2,,7.08,0.35,rain,0.0119,0.1194,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
88,33SR153001,-85.229018,35.104278,45,2/25/19,0:00,0,53.64,60.44,45.57,,,,49.88,0.87,2,,6.51,0.36,rain,0.0155,0.159,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
89,33I0075001,-85.206471,34.993709,45,2/25/19,0:00,0,53.95,60.9,46.11,,,,50.01,0.86,2,,6.8,0.35,rain,0.0132,0.1328,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
90,3304417001,-85.299374,35.02626,44,2/25/19,0:00,0,54.05,61.67,45.91,,,,50.53,0.88,2,,4.04,0.35,rain,0.0142,0.1459,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
91,3304417001,-85.292119,35.039775,44,2/25/19,0:00,0,53.93,61.53,45.78,,,,50.42,0.88,2,,3.94,0.35,rain,0.0143,0.1478,1550995200,clear-night,rain,Clear,Rain,,,,,,,,,,,,,,,,,,,,,,,,
92,33I0124001,-85.314266,35.047051,44,2/25/19,0:00,0,54.64,62.1,46.06,,,,50.59,0.86,2,,1.82,0.35,rain,0.0149,0.1543,1550995200,fog,rain,Foggy,Rain,,,,,,,,,,,,,,,,,,,,,,,,
