,Unnamed: 0,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
4691,170,3301122001,-85.154037,35.041835999999996,32,2/25/19,0:00,0,54.03,60.5,45.52,50.38,0.87,2,0,6.93,0.35,rain,0.0125,0.1296,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,0.33487752,0.11800000000000001,0.0
2722,5282,3303611001,-85.244059,35.01068,35,2/25/19,21:00,21,45.58,55.27,34.16,30.6,0.56,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,7,0,2,2,2,18,4,16,24,15,,0.1549731,0.996,0.0
3925,4410,3304986001,-85.15870600000001,35.034528,268,2/25/19,18:00,18,52.15,55.22,34.37,30.84,0.44,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,3,3,18,4,17,24,15,,0.27335814,1.464,0.0
2835,786,330D624001,-85.199279,35.234297,60,2/25/19,3:00,3,37.69,55.18,33.89,24.47,0.59,2,0,10.0,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,14,15,,0.042837974,0.139,0.0
168,2423,33SR002001,-85.328285,35.013727,27,2/25/19,9:00,9,40.55,55.64,35.75,18.29,0.4,2,0,1.97,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,fog,Mostly Cloudy,Foggy,0,0,0,1,0,0,3,0,0,2,3,3,21,1,16,24,15,,0.10736471,5.744,0.0
1774,5278,3304986001,-85.161923,35.035524,36,2/25/19,21:00,21,45.24,55.22,34.36,30.32,0.56,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,0,2,3,3,18,4,17,24,15,,0.2520739,1.444,0.0
2759,2132,33I0024002,-85.32220699999999,35.029902,31,2/25/19,8:00,8,36.04,55.75,36.04,19.51,0.51,2,0,2.23,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,4,4,2,1,11,24,15,,0.026973322,7.343,0.0
5033,4395,33I0024002,-85.259012,35.019636,26,2/25/19,17:00,17,54.46,54.79,34.05,29.15,0.38,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,,0.250736,11.532,0.0
601,460,33SR002001,-85.220213,35.009919000000004,27,2/25/19,1:00,1,42.82,55.05,34.24,23.3,0.46,2,0,3.13,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,30,15,,0.0067642154,14.31,0.0
408,2701,33I0024002,-85.36876600000001,35.026324,144,2/25/19,11:00,11,46.09,55.85,35.18,15.11,0.28,2,0,10.0,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.5513186,3.9589999999999996,1.0
