,ORIG_FID,X,Y,Grid_Col,Grid_Row,Highway,Center_Lat,Center_Long,Ghost_Lat,Ghost_Long
7882,1578,-85.17461728,35.10944422,38,7,0,,,35.10884876,-85.17645322
7883,1578,-85.17239467,35.11365249,38,7,0,,,35.11516116,-85.17311931
7884,1578,-85.16727341,35.11182596,38,7,0,,,35.11242138,-85.16543742
7885,1579,-85.16215239,35.10999923,39,7,0,35.10880855,-85.16582435,35.11059457,-85.16031641
7886,1579,-85.16437541,35.10579116,39,7,0,,,35.10428246,-85.16365094
7887,1579,-85.16949623,35.1076178,39,7,0,,,35.10702242,-85.17133216
7888,1579,-85.16727341,35.11182596,39,7,0,,,35.11333467,-85.16799794
7889,1579,-85.16215239,35.10999923,39,7,0,,,35.11059457,-85.16031641
7890,1580,-85.15703161,35.10817229,40,7,0,35.10698176,-85.16070355,35.10876755,-85.15519563
7891,1580,-85.15925483,35.10396432,40,7,0,,,35.10245559,-85.15853047
7892,1580,-85.16437541,35.10579116,40,7,0,,,35.10519586,-85.16621134
7893,1580,-85.16215239,35.10999923,40,7,0,,,35.11150796,-85.16287681
7894,1580,-85.15703161,35.10817229,40,7,0,,,35.10876755,-85.15519563
7895,1581,-85.15191106,35.10634513,41,7,0,35.10515476,-85.15558299,35.10694032,-85.15007509
7896,1581,-85.15413449,35.10213726,41,7,0,,,35.10062851,-85.15341024
7897,1581,-85.15925483,35.10396432,41,7,0,,,35.10336909,-85.16109075
7898,1581,-85.15703161,35.10817229,41,7,0,,,35.10968105,-85.15775591
7899,1581,-85.15191106,35.10634513,41,7,0,,,35.10694032,-85.15007509
7900,1582,-85.14679075,35.10451777,42,7,0,35.10332756,-85.15046267,35.10511287,-85.14495479
7901,1582,-85.14901438,35.10031,42,7,0,,,35.09880122,-85.14829024
7902,1582,-85.15413449,35.10213726,42,7,0,,,35.10154212,-85.1559704
7903,1582,-85.15191106,35.10634513,42,7,0,,,35.10785392,-85.15263526
7904,1582,-85.14679075,35.10451777,42,7,0,,,35.10511287,-85.14495479
7905,1583,-85.14167068,35.1026902,43,7,0,35.10150014,-85.14534258,35.10328522,-85.13983473
7906,1583,-85.14389452,35.09848252,43,7,0,,,35.09697372,-85.14317048
7907,1583,-85.14901438,35.10031,43,7,0,,,35.09971493,-85.15085029
7908,1583,-85.14679075,35.10451777,43,7,0,,,35.10602658,-85.14751484
7909,1583,-85.14167068,35.1026902,43,7,0,,,35.10328522,-85.13983473
7910,1584,-85.13655084,35.10086241,44,7,0,35.09967251,-85.14022272,35.10145736,-85.1347149
7911,1584,-85.13877488,35.09665484,44,7,0,,,35.09514601,-85.13805096
7912,1584,-85.14389452,35.09848252,44,7,0,,,35.09788753,-85.14573041
7913,1584,-85.14167068,35.1026902,44,7,0,,,35.10419904,-85.14239465
7914,1584,-85.13655084,35.10086241,44,7,0,,,35.10145736,-85.1347149
7915,1585,-85.13143124,35.09903442,45,7,0,35.09784467,-85.13510311,35.09962929,-85.1295953
7916,1585,-85.13365549,35.09482695,45,7,0,,,35.09331808,-85.13293168
7917,1585,-85.13877488,35.09665484,45,7,0,,,35.09605993,-85.14061077
7918,1585,-85.13655084,35.10086241,45,7,0,,,35.10237128,-85.1372747
7919,1585,-85.13143124,35.09903442,45,7,0,,,35.09962929,-85.1295953
7920,1586,-85.12631188,35.09720622,46,7,0,35.09601662,-85.12998373,35.09780101,-85.12447595
7921,1586,-85.12853633,35.09299884,46,7,0,,,35.09148995,-85.12781263
7922,1586,-85.13365549,35.09482695,46,7,0,,,35.09423211,-85.13549137
7923,1586,-85.13143124,35.09903442,46,7,0,,,35.10054332,-85.13215499
7924,1586,-85.12631188,35.09720622,46,7,0,,,35.09780101,-85.12447595
7925,1587,-85.12119275,35.0953778,47,7,0,35.09418836,-85.12486459,35.09597253,-85.11935683
7926,1587,-85.12341741,35.09117053,47,7,0,,,35.08966161,-85.12269382
7927,1587,-85.12853633,35.09299884,47,7,0,,,35.09240408,-85.1303722
7928,1587,-85.12631188,35.09720622,47,7,0,,,35.09871514,-85.12703552
7929,1587,-85.12119275,35.0953778,47,7,0,,,35.09597253,-85.11935683
7930,1588,-85.11607386,35.09354918,48,7,0,35.0923599,-85.11974568,35.09414383,-85.11423795
7931,1588,-85.11829872,35.08934201,48,7,0,,,35.08783306,-85.11757525
7932,1588,-85.12341741,35.09117053,48,7,0,,,35.09057585,-85.12525327
7933,1588,-85.12119275,35.0953778,48,7,0,,,35.09688676,-85.12191628
7934,1588,-85.11607386,35.09354918,48,7,0,,,35.09414383,-85.11423795
7935,1589,-85.11095521,35.09172035,49,7,0,35.09053122,-85.11462701,35.09231492,-85.1091193
7936,1589,-85.11318027,35.08751328,49,7,0,,,35.0860043,-85.11245691
7937,1589,-85.11829872,35.08934201,49,7,0,,,35.0887474,-85.12013458
7938,1589,-85.11607386,35.09354918,49,7,0,,,35.09505816,-85.11679729
7939,1589,-85.11095521,35.09172035,49,7,0,,,35.09231492,-85.1091193
7940,1590,-85.10583679,35.08989131,50,7,0,35.08870233,-85.10950858,35.0904858,-85.1040009
7941,1590,-85.10806206,35.08568433,50,7,0,,,35.08417534,-85.10733881
7942,1590,-85.11318027,35.08751328,50,7,0,,,35.08691875,-85.11501612
7943,1590,-85.11095521,35.09172035,50,7,0,,,35.09322936,-85.11167852
7944,1590,-85.10583679,35.08989131,50,7,0,,,35.0904858,-85.1040009
7945,1591,-85.10071861,35.08806206,51,7,0,35.08687324,-85.10439038,35.08865647,-85.09888273
7946,1591,-85.10294409,35.08385518,51,7,0,,,35.08234616,-85.10222094
7947,1591,-85.10806206,35.08568433,51,7,0,,,35.08508988,-85.1098979
7948,1591,-85.10583679,35.08989131,51,7,0,,,35.09140035,-85.10655999
7949,1591,-85.10071861,35.08806206,51,7,0,,,35.08865647,-85.09888273
7950,1592,-85.09560067,35.0862326,52,7,0,35.08504393,-85.09927243,35.08682693,-85.09376479
7951,1592,-85.09782635,35.08202582,52,7,0,,,35.08051677,-85.09710332
7952,1592,-85.10294409,35.08385518,52,7,0,,,35.08326081,-85.10477992
7953,1592,-85.10071861,35.08806206,52,7,0,,,35.08957112,-85.10144171
7954,1592,-85.09560067,35.0862326,52,7,0,,,35.08682693,-85.09376479
7955,1593,-85.09048297,35.08440293,53,7,0,35.08321442,-85.09415471,35.08499719,-85.0886471
7956,1593,-85.09270885,35.08019625,53,7,0,,,35.07868717,-85.09198593
7957,1593,-85.09782635,35.08202582,53,7,0,,,35.08143153,-85.09966218
7958,1593,-85.09560067,35.0862326,53,7,0,,,35.08774169,-85.09632365
7959,1593,-85.09048297,35.08440293,53,7,0,,,35.08499719,-85.0886471
7960,1594,-85.0853655,35.08257305,54,7,1,35.08138469,-85.08903722,35.08316723,-85.08352964
7961,1594,-85.08759159,35.07836648,54,7,1,,,35.07685737,-85.08686877
7962,1594,-85.09270885,35.08019625,54,7,1,,,35.07960203,-85.09454467
7963,1594,-85.09048297,35.08440293,54,7,1,,,35.08591205,-85.09120584
7964,1594,-85.0853655,35.08257305,54,7,1,,,35.08316723,-85.08352964
7965,1595,-85.08024827,35.08074297,55,7,1,35.07955476,-85.08391998,35.08133707,-85.07841242
7966,1595,-85.08247456,35.07653649,55,7,1,,,35.07502735,-85.08175186
7967,1595,-85.08759159,35.07836648,55,7,1,,,35.07777233,-85.0894274
7968,1595,-85.0853655,35.08257305,55,7,1,,,35.0840822,-85.08608826
7969,1595,-85.08024827,35.08074297,55,7,1,,,35.08133707,-85.07841242
7970,1596,-85.07513128,35.07891267,56,7,0,35.07772462,-85.07880297,35.07950669,-85.07329543
7971,1596,-85.07735777,35.07470629,56,7,0,,,35.07319713,-85.07663518
7972,1596,-85.08247456,35.07653649,56,7,0,,,35.07594242,-85.08431036
7973,1596,-85.08024827,35.08074297,56,7,0,,,35.08225214,-85.08097092
7974,1596,-85.07513128,35.07891267,56,7,0,,,35.07950669,-85.07329543
7975,1597,-85.07001452,35.07708216,57,7,0,35.07589427,-85.07368619,35.07767611,-85.06817868
7976,1597,-85.07224122,35.07287588,57,7,0,,,35.07136669,-85.07151874
7977,1597,-85.07735777,35.07470629,57,7,0,,,35.0741123,-85.07919356
7978,1597,-85.07513128,35.07891267,57,7,0,,,35.08042187,-85.07585382
7979,1597,-85.07001452,35.07708216,57,7,0,,,35.07767611,-85.06817868
7980,1598,-85.064898,35.07525145,58,7,0,35.07406371,-85.06856966,35.07584532,-85.06306217
7981,1598,-85.06712491,35.07104527,58,7,0,,,35.06953605,-85.06640253
7982,1598,-85.07224122,35.07287588,58,7,0,,,35.07228197,-85.074077
7983,1598,-85.07001452,35.07708216,58,7,0,,,35.07859139,-85.07073695
7984,1598,-85.064898,35.07525145,58,7,0,,,35.07584532,-85.06306217
7985,1599,-85.05978172,35.07342052,59,7,0,35.07223294,-85.06345336,35.07401432,-85.0579459
