Accident,Latitude,Longitude,Hour,DayFrame,WeekDay,WeekEnd,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Probability,Prediction
,35.07487643,-85.11858595,23,1,,,719,35,7,1,0,2,,
,35.07224627,-85.11137216,0,1,,,720,36,7,1,0,8,,
,35.07224627,-85.11137216,4,1,,,720,36,7,1,0,8,,
,35.07224627,-85.11137216,8,2,,,720,36,7,1,0,8,,
,35.07224627,-85.11137216,12,3,,,720,36,7,1,0,8,,
,35.07224627,-85.11137216,16,4,,,720,36,7,1,0,8,,
,35.07224627,-85.11137216,20,1,,,720,36,7,1,0,8,,
,35.07224627,-85.11137216,23,1,,,720,36,7,1,0,8,,
,35.06961569,-85.10415885,0,1,,,721,37,7,0,0,7,,
,35.06961569,-85.10415885,4,1,,,721,37,7,0,0,7,,
,35.06961569,-85.10415885,8,2,,,721,37,7,0,0,7,,
,35.06961569,-85.10415885,12,3,,,721,37,7,0,0,7,,
,35.06961569,-85.10415885,16,4,,,721,37,7,0,0,7,,
,35.06961569,-85.10415885,20,1,,,721,37,7,0,0,7,,
,35.06961569,-85.10415885,23,1,,,721,37,7,0,0,7,,
,35.06698469,-85.09694601,0,1,,,722,38,7,0,0,6,,
,35.06698469,-85.09694601,4,1,,,722,38,7,0,0,6,,
,35.06698469,-85.09694601,8,2,,,722,38,7,0,0,6,,
,35.06698469,-85.09694601,12,3,,,722,38,7,0,0,6,,
,35.06698469,-85.09694601,16,4,,,722,38,7,0,0,6,,
,35.06698469,-85.09694601,20,1,,,722,38,7,0,0,6,,
,35.06698469,-85.09694601,23,1,,,722,38,7,0,0,6,,
,35.06435327,-85.08973366,0,1,,,723,39,7,0,0,3,,
,35.06435327,-85.08973366,4,1,,,723,39,7,0,0,3,,
,35.06435327,-85.08973366,8,2,,,723,39,7,0,0,3,,
,35.06435327,-85.08973366,12,3,,,723,39,7,0,0,3,,
,35.06435327,-85.08973366,16,4,,,723,39,7,0,0,3,,
,35.06435327,-85.08973366,20,1,,,723,39,7,0,0,3,,
,35.06435327,-85.08973366,23,1,,,723,39,7,0,0,3,,
,35.06172145,-85.08252179,0,1,,,724,40,7,0,0,3,,
,35.06172145,-85.08252179,4,1,,,724,40,7,0,0,3,,
,35.06172145,-85.08252179,8,2,,,724,40,7,0,0,3,,
,35.06172145,-85.08252179,12,3,,,724,40,7,0,0,3,,
,35.06172145,-85.08252179,16,4,,,724,40,7,0,0,3,,
,35.06172145,-85.08252179,20,1,,,724,40,7,0,0,3,,
,35.06172145,-85.08252179,23,1,,,724,40,7,0,0,3,,
,35.0590892,-85.07531039,0,1,,,725,41,7,0,7,10,,
,35.0590892,-85.07531039,4,1,,,725,41,7,0,7,10,,
,35.0590892,-85.07531039,8,2,,,725,41,7,0,7,10,,
,35.0590892,-85.07531039,12,3,,,725,41,7,0,7,10,,
,35.0590892,-85.07531039,16,4,,,725,41,7,0,7,10,,
,35.0590892,-85.07531039,20,1,,,725,41,7,0,7,10,,
,35.0590892,-85.07531039,23,1,,,725,41,7,0,7,10,,
,35.05645654,-85.06809948,0,1,,,726,42,7,0,7,4,,
,35.05645654,-85.06809948,4,1,,,726,42,7,0,7,4,,
,35.05645654,-85.06809948,8,2,,,726,42,7,0,7,4,,
,35.05645654,-85.06809948,12,3,,,726,42,7,0,7,4,,
,35.05645654,-85.06809948,16,4,,,726,42,7,0,7,4,,
,35.05645654,-85.06809948,20,1,,,726,42,7,0,7,4,,
,35.05645654,-85.06809948,23,1,,,726,42,7,0,7,4,,
,35.05382347,-85.06088904,0,1,,,727,43,7,0,0,2,,
,35.05382347,-85.06088904,4,1,,,727,43,7,0,0,2,,
,35.05382347,-85.06088904,8,2,,,727,43,7,0,0,2,,
,35.05382347,-85.06088904,12,3,,,727,43,7,0,0,2,,
,35.05382347,-85.06088904,16,4,,,727,43,7,0,0,2,,
,35.05382347,-85.06088904,20,1,,,727,43,7,0,0,2,,
,35.05382347,-85.06088904,23,1,,,727,43,7,0,0,2,,
,35.05118998,-85.05367908,0,1,,,728,44,7,0,2,4,,
,35.05118998,-85.05367908,4,1,,,728,44,7,0,2,4,,
,35.05118998,-85.05367908,8,2,,,728,44,7,0,2,4,,
,35.05118998,-85.05367908,12,3,,,728,44,7,0,2,4,,
,35.05118998,-85.05367908,16,4,,,728,44,7,0,2,4,,
,35.05118998,-85.05367908,20,1,,,728,44,7,0,2,4,,
,35.05118998,-85.05367908,23,1,,,728,44,7,0,2,4,,
,35.04855608,-85.04646961,0,1,,,729,45,7,0,2,4,,
,35.04855608,-85.04646961,4,1,,,729,45,7,0,2,4,,
,35.04855608,-85.04646961,8,2,,,729,45,7,0,2,4,,
,35.04855608,-85.04646961,12,3,,,729,45,7,0,2,4,,
,35.04855608,-85.04646961,16,4,,,729,45,7,0,2,4,,
,35.04855608,-85.04646961,20,1,,,729,45,7,0,2,4,,
,35.04855608,-85.04646961,23,1,,,729,45,7,0,2,4,,
,35.14381076,-85.28867103,0,1,,,730,11,6,1,7,3,,
,35.14381076,-85.28867103,4,1,,,730,11,6,1,7,3,,
,35.14381076,-85.28867103,8,2,,,730,11,6,1,7,3,,
,35.14381076,-85.28867103,12,3,,,730,11,6,1,7,3,,
,35.14381076,-85.28867103,16,4,,,730,11,6,1,7,3,,
,35.14381076,-85.28867103,20,1,,,730,11,6,1,7,3,,
,35.14381076,-85.28867103,23,1,,,730,11,6,1,7,3,,
,35.14119041,-85.28144534,0,1,,,731,12,6,0,7,10,,
,35.14119041,-85.28144534,4,1,,,731,12,6,0,7,10,,
,35.14119041,-85.28144534,8,2,,,731,12,6,0,7,10,,
,35.14119041,-85.28144534,12,3,,,731,12,6,0,7,10,,
,35.14119041,-85.28144534,16,4,,,731,12,6,0,7,10,,
,35.14119041,-85.28144534,20,1,,,731,12,6,0,7,10,,
,35.14119041,-85.28144534,23,1,,,731,12,6,0,7,10,,
,35.13856964,-85.27422013,0,1,,,732,13,6,0,7,20,,
,35.13856964,-85.27422013,4,1,,,732,13,6,0,7,20,,
,35.13856964,-85.27422013,8,2,,,732,13,6,0,7,20,,
,35.13856964,-85.27422013,12,3,,,732,13,6,0,7,20,,
,35.13856964,-85.27422013,16,4,,,732,13,6,0,7,20,,
,35.13856964,-85.27422013,20,1,,,732,13,6,0,7,20,,
,35.13856964,-85.27422013,23,1,,,732,13,6,0,7,20,,
,35.13594845,-85.2669954,0,1,,,733,14,6,0,7,16,,
,35.13594845,-85.2669954,4,1,,,733,14,6,0,7,16,,
,35.13594845,-85.2669954,8,2,,,733,14,6,0,7,16,,
,35.13594845,-85.2669954,12,3,,,733,14,6,0,7,16,,
,35.13594845,-85.2669954,16,4,,,733,14,6,0,7,16,,
,35.13594845,-85.2669954,20,1,,,733,14,6,0,7,16,,
,35.13594845,-85.2669954,23,1,,,733,14,6,0,7,16,,
,35.13332684,-85.25977115,0,1,,,734,15,6,0,7,15,,
,35.13332684,-85.25977115,4,1,,,734,15,6,0,7,15,,
,35.13332684,-85.25977115,8,2,,,734,15,6,0,7,15,,
,35.13332684,-85.25977115,12,3,,,734,15,6,0,7,15,,
,35.13332684,-85.25977115,16,4,,,734,15,6,0,7,15,,
,35.13332684,-85.25977115,20,1,,,734,15,6,0,7,15,,
,35.13332684,-85.25977115,23,1,,,734,15,6,0,7,15,,
,35.13070482,-85.25254737,0,1,,,735,16,6,0,7,12,,
,35.13070482,-85.25254737,4,1,,,735,16,6,0,7,12,,
,35.13070482,-85.25254737,8,2,,,735,16,6,0,7,12,,
,35.13070482,-85.25254737,12,3,,,735,16,6,0,7,12,,
,35.13070482,-85.25254737,16,4,,,735,16,6,0,7,12,,
,35.13070482,-85.25254737,20,1,,,735,16,6,0,7,12,,
,35.13070482,-85.25254737,23,1,,,735,16,6,0,7,12,,
,35.12808238,-85.24532407,0,1,,,736,17,6,1,2,11,,
,35.12808238,-85.24532407,4,1,,,736,17,6,1,2,11,,
,35.12808238,-85.24532407,8,2,,,736,17,6,1,2,11,,
,35.12808238,-85.24532407,12,3,,,736,17,6,1,2,11,,
,35.12808238,-85.24532407,16,4,,,736,17,6,1,2,11,,
,35.12808238,-85.24532407,20,1,,,736,17,6,1,2,11,,
,35.12808238,-85.24532407,23,1,,,736,17,6,1,2,11,,
,35.12545952,-85.23810125,0,1,,,737,18,6,1,2,9,,
,35.12545952,-85.23810125,4,1,,,737,18,6,1,2,9,,
,35.12545952,-85.23810125,8,2,,,737,18,6,1,2,9,,
,35.12545952,-85.23810125,12,3,,,737,18,6,1,2,9,,
,35.12545952,-85.23810125,16,4,,,737,18,6,1,2,9,,
,35.12545952,-85.23810125,20,1,,,737,18,6,1,2,9,,
,35.12545952,-85.23810125,23,1,,,737,18,6,1,2,9,,
,35.12283624,-85.23087892,0,1,,,738,19,6,0,7,9,,
,35.12283624,-85.23087892,4,1,,,738,19,6,0,7,9,,
,35.12283624,-85.23087892,8,2,,,738,19,6,0,7,9,,
,35.12283624,-85.23087892,12,3,,,738,19,6,0,7,9,,
,35.12283624,-85.23087892,16,4,,,738,19,6,0,7,9,,
,35.12283624,-85.23087892,20,1,,,738,19,6,0,7,9,,
,35.12283624,-85.23087892,23,1,,,738,19,6,0,7,9,,
,35.12021254,-85.22365706,0,1,,,739,20,6,0,7,3,,
,35.12021254,-85.22365706,4,1,,,739,20,6,0,7,3,,
,35.12021254,-85.22365706,8,2,,,739,20,6,0,7,3,,
,35.12021254,-85.22365706,12,3,,,739,20,6,0,7,3,,
,35.12021254,-85.22365706,16,4,,,739,20,6,0,7,3,,
,35.12021254,-85.22365706,20,1,,,739,20,6,0,7,3,,
,35.12021254,-85.22365706,23,1,,,739,20,6,0,7,3,,
,35.11758842,-85.21643568,0,1,,,740,21,6,0,7,4,,
,35.11758842,-85.21643568,4,1,,,740,21,6,0,7,4,,
,35.11758842,-85.21643568,8,2,,,740,21,6,0,7,4,,
,35.11758842,-85.21643568,12,3,,,740,21,6,0,7,4,,
,35.11758842,-85.21643568,16,4,,,740,21,6,0,7,4,,
,35.11758842,-85.21643568,20,1,,,740,21,6,0,7,4,,
,35.11758842,-85.21643568,23,1,,,740,21,6,0,7,4,,
,35.11496389,-85.20921477,0,1,,,741,22,6,0,7,9,,
,35.11496389,-85.20921477,4,1,,,741,22,6,0,7,9,,
,35.11496389,-85.20921477,8,2,,,741,22,6,0,7,9,,
,35.11496389,-85.20921477,12,3,,,741,22,6,0,7,9,,
,35.11496389,-85.20921477,16,4,,,741,22,6,0,7,9,,
,35.11496389,-85.20921477,20,1,,,741,22,6,0,7,9,,
,35.11496389,-85.20921477,23,1,,,741,22,6,0,7,9,,
,35.11233894,-85.20199435,0,1,,,742,23,6,0,7,1,,
,35.11233894,-85.20199435,4,1,,,742,23,6,0,7,1,,
,35.11233894,-85.20199435,8,2,,,742,23,6,0,7,1,,
,35.11233894,-85.20199435,12,3,,,742,23,6,0,7,1,,
,35.11233894,-85.20199435,16,4,,,742,23,6,0,7,1,,
,35.11233894,-85.20199435,20,1,,,742,23,6,0,7,1,,
,35.11233894,-85.20199435,23,1,,,742,23,6,0,7,1,,
,35.10446158,-85.18033595,0,1,,,745,26,6,0,7,4,,
,35.10446158,-85.18033595,4,1,,,745,26,6,0,7,4,,
,35.10446158,-85.18033595,8,2,,,745,26,6,0,7,4,,
,35.10446158,-85.18033595,12,3,,,745,26,6,0,7,4,,
,35.10446158,-85.18033595,16,4,,,745,26,6,0,7,4,,
,35.10446158,-85.18033595,20,1,,,745,26,6,0,7,4,,
,35.10446158,-85.18033595,23,1,,,745,26,6,0,7,4,,
,35.10183496,-85.17311744,0,1,,,746,27,6,0,0,4,,
,35.10183496,-85.17311744,4,1,,,746,27,6,0,0,4,,
,35.10183496,-85.17311744,8,2,,,746,27,6,0,0,4,,
,35.10183496,-85.17311744,12,3,,,746,27,6,0,0,4,,
,35.10183496,-85.17311744,16,4,,,746,27,6,0,0,4,,
,35.10183496,-85.17311744,20,1,,,746,27,6,0,0,4,,
,35.10183496,-85.17311744,23,1,,,746,27,6,0,0,4,,
,35.09920793,-85.16589941,0,1,,,747,28,6,0,4,2,,
,35.09920793,-85.16589941,4,1,,,747,28,6,0,4,2,,
,35.09920793,-85.16589941,8,2,,,747,28,6,0,4,2,,
,35.09920793,-85.16589941,12,3,,,747,28,6,0,4,2,,
,35.09920793,-85.16589941,16,4,,,747,28,6,0,4,2,,
,35.09920793,-85.16589941,20,1,,,747,28,6,0,4,2,,
,35.09920793,-85.16589941,23,1,,,747,28,6,0,4,2,,
,35.09658048,-85.15868186,0,1,,,748,29,6,0,0,1,,
,35.09658048,-85.15868186,4,1,,,748,29,6,0,0,1,,
,35.09658048,-85.15868186,8,2,,,748,29,6,0,0,1,,
,35.09658048,-85.15868186,12,3,,,748,29,6,0,0,1,,
,35.09658048,-85.15868186,16,4,,,748,29,6,0,0,1,,
,35.09658048,-85.15868186,20,1,,,748,29,6,0,0,1,,
,35.09658048,-85.15868186,23,1,,,748,29,6,0,0,1,,
,35.07817664,-85.10817243,0,1,,,755,36,6,1,0,1,,
,35.07817664,-85.10817243,4,1,,,755,36,6,1,0,1,,
,35.07817664,-85.10817243,8,2,,,755,36,6,1,0,1,,
,35.07817664,-85.10817243,12,3,,,755,36,6,1,0,1,,
,35.07817664,-85.10817243,16,4,,,755,36,6,1,0,1,,
,35.07817664,-85.10817243,20,1,,,755,36,6,1,0,1,,
,35.07817664,-85.10817243,23,1,,,755,36,6,1,0,1,,
,35.07554586,-85.10095871,0,1,,,756,37,6,1,0,3,,
,35.07554586,-85.10095871,4,1,,,756,37,6,1,0,3,,
,35.07554586,-85.10095871,8,2,,,756,37,6,1,0,3,,
,35.07554586,-85.10095871,12,3,,,756,37,6,1,0,3,,
,35.07554586,-85.10095871,16,4,,,756,37,6,1,0,3,,
,35.07554586,-85.10095871,20,1,,,756,37,6,1,0,3,,
,35.07554586,-85.10095871,23,1,,,756,37,6,1,0,3,,
,35.07291466,-85.09374548,0,1,,,757,38,6,0,7,6,,
,35.07291466,-85.09374548,4,1,,,757,38,6,0,7,6,,
,35.07291466,-85.09374548,8,2,,,757,38,6,0,7,6,,
,35.07291466,-85.09374548,12,3,,,757,38,6,0,7,6,,
,35.07291466,-85.09374548,16,4,,,757,38,6,0,7,6,,
,35.07291466,-85.09374548,20,1,,,757,38,6,0,7,6,,
,35.07291466,-85.09374548,23,1,,,757,38,6,0,7,6,,
,35.07028304,-85.08653273,0,1,,,758,39,6,0,7,5,,
,35.07028304,-85.08653273,4,1,,,758,39,6,0,7,5,,
,35.07028304,-85.08653273,8,2,,,758,39,6,0,7,5,,
,35.07028304,-85.08653273,12,3,,,758,39,6,0,7,5,,
