,BLM,ELM,Route
489,0.0,0.284,330A263001
490,0.0,0.36,330A264001
491,0.0,0.446,330A265001
492,0.0,0.235,330A266001
493,0.0,0.488,330A267001
494,0.042,0.042,330A268001
495,0.033,0.142,330A269001
496,0.0,0.496,330A270001
497,0.0,0.265,330A271001
498,0.0,0.047,330A272001
499,0.0,0.0,330A273001
500,0.0,0.276,330A274001
501,0.0,0.212,330A275001
502,0.0,0.077,330A276001
503,0.0,0.22399999999999998,330A277001
504,0.0,0.192,330A278001
505,0.0,0.166,330A279001
506,0.0,0.305,330A280001
507,0.0,0.299,330A281001
508,0.0,0.098,330A282001
509,0.0,0.08199999999999999,330A283001
510,0.0,0.043,330A284001
511,0.0,0.033,330A285001
512,0.0,0.282,330A286001
513,0.0,0.183,330A287001
514,0.0,0.047,330A288001
515,0.0,0.053,330A289001
516,0.0,0.094,330A290001
517,0.0,0.0,330A291001
518,0.0,0.05,330A292001
519,0.0,0.2,330A293001
520,0.0,0.047,330A294001
521,0.0,0.20199999999999999,330A295001
522,0.0,0.83,330A296001
523,0.031,0.031,330A297001
524,0.0,0.038,330A298001
525,0.0,0.212,330A299001
526,0.0,0.16899999999999998,330A300001
527,0.16,0.16,330A302001
528,0.0,0.0,330A303001
529,0.0,0.259,330A304001
530,0.0,0.131,330A305001
531,0.0,0.205,330A306001
532,0.0,0.318,330A307001
533,0.0,0.0,330A308001
534,0.0,0.92,330A309001
535,0.0,0.218,330A310001
536,0.0,0.157,330A311001
537,0.0,0.049,330A312001
538,0.0,0.348,330A313001
539,0.0,0.0,330A314001
540,0.0,0.068,330A315001
541,0.0,0.364,330A316001
542,0.0,0.267,330A317001
543,0.0,0.8029999999999999,330A318001
544,0.0,0.111,330A319001
545,0.0,0.183,330A320001
546,0.0,0.065,330A321001
547,0.0,0.131,330A322001
548,0.0,0.109,330A323001
549,0.0,0.066,330A324001
550,0.0,0.0,330A325001
551,0.0,0.25,330A326001
552,0.0,0.149,330A327001
553,0.0,0.19,330A328001
554,0.0,0.040999999999999995,330A329001
555,0.0,0.336,330A330001
556,0.0,0.04,330A331001
557,0.0,0.244,330A333001
558,0.0,0.0,330A334001
559,0.33299999999999996,0.33299999999999996,330A335001
560,0.0,0.0,330A336001
561,0.0,0.415,330A337001
562,0.0,1.464,330A338001
563,0.0,0.051,330A339001
564,0.052000000000000005,0.256,330A340001
565,0.0,0.22,330A341001
566,0.0,0.0,330A342001
567,0.0,0.247,330A343001
568,0.0,0.0,330A344001
569,0.0,0.573,330A345001
570,0.271,0.271,330A346001
571,0.177,0.335,330A347001
572,0.153,0.153,330A348001
573,0.0,0.214,330A349001
574,0.0,0.17600000000000002,330A350001
575,0.0,0.07,330A351001
576,0.0,0.0,330A352001
577,0.17,0.17,330A353001
578,0.08800000000000001,0.175,330A354001
579,0.055,0.055,330A355001
580,0.0,0.08,330A356001
581,0.098,0.098,330A357001
582,0.0,0.0,330A358001
583,0.0,0.22399999999999998,330A359001
584,0.0,0.195,330A360001
585,0.0,0.375,330A361001
586,0.0,0.263,330A362001
587,0.0,0.042,330A363001
588,0.0,0.11,330A364001
589,0.158,0.158,330A365001
590,0.0,0.56,330A366001
591,0.0,0.135,330A367001
592,0.0,0.185,330A368001
593,0.0,0.373,330A369001
594,0.0,0.521,330A370001
595,0.0,0.168,330A371001
596,0.0,0.128,330A372001
597,0.0,0.048,330A373001
598,0.0,0.0,330A374001
599,0.191,0.191,330A375001
600,0.0,0.107,330A376001
601,0.209,0.209,330A377001
602,0.0,0.0,330A378001
603,0.0,0.0,330A379001
604,0.0,0.175,330A380001
605,0.0,0.0,330A381001
606,0.0,0.151,330A382001
607,0.0,0.626,330A383001
608,0.0,0.304,330A384001
609,0.0,0.306,330A385001
610,0.0,0.0,330A386001
611,0.0,0.114,330A387001
612,0.0,0.145,330A388001
613,0.0,0.0,330A389001
614,0.0,0.608,330A390001
615,0.0,0.0,330A391001
616,0.0,0.057,330A392001
617,0.0,0.0,330A393001
618,0.0,0.354,330A394001
619,0.16,0.16,330A395001
620,0.0,0.0,330A397001
621,0.0,0.0,330A398001
622,0.0,0.087,330A399001
623,0.0,0.345,330A400001
624,0.0,0.28300000000000003,330A401001
625,0.0,0.467,330A402001
626,0.0,0.04,330A403001
627,0.0,0.17,330A404001
628,0.0,0.084,330A405001
629,0.0,0.22,330A406001
630,0.0,0.249,330A407001
631,0.0,0.0,330A408001
632,0.0,0.146,330A409001
633,0.0,0.0,330A411001
634,0.0,0.145,330A412001
635,0.0,0.0,330A413001
636,0.0,0.239,330A414001
637,0.0,0.0,330A415001
638,0.0,0.161,330A416001
639,0.0,0.617,330A417001
640,0.0,0.055,330A418001
641,0.0,0.06,330A419001
642,0.0,0.092,330A420001
643,0.0,0.377,330A421001
644,0.0,0.141,330A422001
645,0.0,0.062,330A423001
646,0.08,0.08,330A424001
647,0.0,0.264,330A425001
648,0.068,0.068,330A426001
649,0.0,0.302,330A427001
650,0.0,0.0,330A428001
651,0.0,0.327,330A429001
652,0.0,0.0,330A430001
653,0.0,0.14,330A432001
654,0.0,0.38,330A433001
655,0.0,0.043,330A434001
656,0.0,0.18,330A437001
657,0.0,0.038,330A438001
658,0.0,0.354,330A439001
659,0.0,0.4,330A440001
660,0.0,0.48,330A441001
661,0.0,0.145,330A442001
662,0.0,0.228,330A443001
663,0.0,0.153,330A444001
664,0.069,0.069,330A445001
665,0.0,0.27,330A446001
666,0.0,0.26899999999999996,330A447001
667,0.0,0.331,330A448001
668,0.0,0.435,330A449001
669,0.0,0.21,330A450001
670,0.0,0.309,330A451001
671,0.0,0.079,330A452001
672,0.0,0.08,330A453001
673,0.0,0.081,330A454001
674,0.0,0.21,330A455001
675,0.0,0.08,330A456001
676,0.0,0.257,330A457001
677,0.0,0.067,330A458001
678,0.0,0.1,330A459001
679,0.0,0.609,330A460001
680,0.0,0.0,330A461001
681,0.0,0.26899999999999996,330A462001
682,0.0,0.185,330A463001
683,0.0,1.015,330A464001
684,0.0,0.0,330A465001
685,0.281,0.281,330A466001
686,0.0,0.0,330A467001
687,0.0,0.309,330A468001
688,0.0,0.24100000000000002,330A469001
689,0.0,1.507,330A470001
690,0.23199999999999998,1.085,330A471001
691,0.0,0.249,330A472001
692,0.0,0.25,330A473001
693,0.0,0.738,330A474001
694,0.0,0.31,330A475001
695,0.0,0.193,330A476001
696,0.0,0.423,330A477001
697,0.0,0.743,330A478001
698,0.0,0.562,330A479001
699,0.0,0.747,330A480001
700,0.0,0.188,330A481001
701,0.0,0.249,330A482001
702,0.0,0.162,330A483001
703,0.0,0.16699999999999998,330A485001
704,0.0,0.08,330A486001
705,0.0,0.67,330A488001
706,0.0,0.319,330A489001
707,0.0,1.075,330A490001
708,0.0,0.233,330A491001
709,0.0,0.685,330A492001
710,0.0,0.6829999999999999,330A493001
711,0.0,0.536,330A494001
712,0.0,1.161,330A495001
713,0.0,0.086,330A496001
714,0.0,0.26,330A497001
715,0.0,0.297,330A498001
716,0.0,0.0,330A499001
717,0.0,0.165,330A500001
718,0.0,0.146,330A501001
719,0.0,0.05,330A502001
720,0.0,0.114,330A503001
721,0.0,0.063,330A504001
722,0.0,0.0,330A505001
723,0.0,0.6509999999999999,330A506001
724,0.0,0.019,330A507001
725,0.0,0.042,330A508001
726,0.092,0.092,330A509001
727,0.0,0.12,330A510001
728,0.0,0.486,330A511001
729,0.0,0.49,330A512001
730,0.0,0.061,330A513001
731,0.0,0.099,330A514001
732,0.0,0.484,330A515001
733,0.0,0.364,330A516001
