BLM,ELM,Route,ID NUMBER,Feature Type,Feature Composition
13.04,13.33,SR002,33SR002001,19,15
13.04,13.33,SR002,33SR002001,19,15
13.33,13.44,SR002,33SR002001,19,15
13.33,13.44,SR002,33SR002001,19,15
13.44,13.55,SR002,33SR002001,19,15
13.44,13.55,SR002,33SR002001,19,15
13.55,13.72,SR002,33SR002001,19,15
13.72,13.8,SR002,33SR002001,19,15
13.72,13.8,SR002,33SR002001,19,15
13.8,14.77,SR002,33SR002001,19,15
13.8,14.77,SR002,33SR002001,19,15
14.77,14.94,SR002,33SR002001,19,15
14.77,14.94,SR002,33SR002001,19,15
14.94,15.02,SR002,33SR002001,19,18
14.94,15.02,SR002,33SR002001,19,18
15.02,15.28,SR002,33SR002001,19,15
15.02,15.28,SR002,33SR002001,19,15
15.28,15.41,SR002,33SR002001,19,15
15.28,15.41,SR002,33SR002001,19,15
15.41,15.78,SR002,33SR002001,19,15
15.41,15.78,SR002,33SR002001,19,15
15.78,16.14,SR002,33SR002001,19,15
15.78,16.14,SR002,33SR002001,19,15
16.14,16.39,SR002,33SR002001,19,15
16.14,16.39,SR002,33SR002001,19,15
16.39,16.75,SR002,33SR002001,19,15
16.39,16.75,SR002,33SR002001,19,15
16.75,16.82,SR002,33SR002001,19,15
16.75,16.82,SR002,33SR002001,19,15
16.82,16.87,SR002,33SR002001,19,15
16.82,16.87,SR002,33SR002001,19,15
16.87,16.9,SR002,33SR002001,19,15
16.87,16.9,SR002,33SR002001,19,15
16.9,17.02,SR002,33SR002001,19,15
16.9,17.02,SR002,33SR002001,19,15
17.02,17.06,SR002,33SR002001,19,15
17.02,17.06,SR002,33SR002001,19,15
17.06,17.11,SR002,33SR002001,19,15
17.06,17.11,SR002,33SR002001,19,15
17.11,17.24,SR002,33SR002001,19,15
17.11,17.24,SR002,33SR002001,19,15
17.24,17.35,SR002,33SR002001,19,15
17.24,17.35,SR002,33SR002001,19,15
17.35,17.47,SR002,33SR002001,19,15
17.35,17.47,SR002,33SR002001,19,15
17.47,18.3,SR002,33SR002001,19,15
17.47,18.3,SR002,33SR002001,19,15
18.3,18.41,SR002,33SR002001,19,15
18.3,18.41,SR002,33SR002001,19,15
18.41,18.46,SR002,33SR002001,19,15
18.41,18.46,SR002,33SR002001,19,15
18.46,18.54,SR002,33SR002001,19,15
18.46,18.54,SR002,33SR002001,19,15
18.54,18.64,SR002,33SR002001,19,15
18.54,18.64,SR002,33SR002001,19,15
18.64,18.68,SR002,33SR002001,19,15
18.64,18.68,SR002,33SR002001,19,15
18.68,18.81,SR002,33SR002001,19,15
18.68,18.81,SR002,33SR002001,19,15
18.81,19,SR002,33SR002001,19,15
18.81,19,SR002,33SR002001,19,15
19,19.06,SR002,33SR002001,19,15
19,19.06,SR002,33SR002001,19,15
19.06,19.28,SR002,33SR002001,19,15
19.06,19.28,SR002,33SR002001,19,15
19.28,19.52,SR002,33SR002001,19,15
19.28,19.52,SR002,33SR002001,19,15
19.52,19.88,SR002,33SR002001,19,15
19.52,19.88,SR002,33SR002001,19,15
