BLM,ELM,ID_NUMBER,Feat_Seq_Nbr,Feature_Type,Feat_Width,Feature_Composition
0.26,0.579,3301147001,8,29,,40
0.26,0.579,3301147001,9,20,2,4
0.26,0.579,3301147001,10,19,28,15
0.26,0.579,3301147001,12,29,,43
0.579,0.62,3301147001,9,29,,42
0.579,0.62,3301147001,11,20,2,18
0.579,0.62,3301147001,13,19,28,15
0.579,0.62,3301147001,15,20,2,18
0.579,0.62,3301147001,17,29,,43
0.62,0.66,3301147001,8,29,,42
0.62,0.66,3301147001,9,20,1,15
0.62,0.66,3301147001,10,19,12,15
0.62,0.66,3301147001,12,20,1,15
0.62,0.66,3301147001,13,29,,43
0.62,0.66,3301147001,14,40,54,25
0.62,0.66,3301147001,15,29,,43
0.62,0.66,3301147001,16,21,1,15
0.62,0.66,3301147001,17,19,12,15
0.62,0.66,3301147001,18,20,1,15
0.62,0.66,3301147001,19,29,,42
0.66,3.6,3301147001,9,29,,40
0.66,3.6,3301147001,11,20,2,4
0.66,3.6,3301147001,13,19,20,15
0.66,3.6,3301147001,15,20,2,4
0.66,3.6,3301147001,17,29,,40
3.6,3.88,3301147001,8,29,,40
3.6,3.88,3301147001,9,20,1,5
3.6,3.88,3301147001,10,19,17,15
3.6,3.88,3301147001,12,20,1,5
3.6,3.88,3301147001,13,29,,40
3.88,4.15,3301147001,9,29,,40
3.88,4.15,3301147001,11,20,2,4
3.88,4.15,3301147001,13,19,18,15
3.88,4.15,3301147001,15,20,2,4
3.88,4.15,3301147001,17,29,,40
4.15,8.95,3301147001,1,29,,40
4.15,8.95,3301147001,2,20,1,4
4.15,8.95,3301147001,3,19,18,15
4.15,8.95,3301147001,4,20,1,4
4.15,8.95,3301147001,5,29,,40
8.95,11.87,3301147001,8,29,,40
8.95,11.87,3301147001,9,20,2,15
8.95,11.87,3301147001,10,19,20,15
8.95,11.87,3301147001,12,20,2,15
8.95,11.87,3301147001,13,29,,40
0,2.967,3301149001,8,29,,40
0,2.967,3301149001,9,20,2,15
0,2.967,3301149001,10,19,20,15
0,2.967,3301149001,12,20,2,15
0,2.967,3301149001,13,29,,40
2.967,3.37,3301149001,8,29,,40
2.967,3.37,3301149001,9,20,2,4
2.967,3.37,3301149001,10,19,22,15
2.967,3.37,3301149001,12,20,2,4
2.967,3.37,3301149001,13,29,,40
3.37,3.4,3301149001,9,29,,40
3.37,3.4,3301149001,11,20,3,15
3.37,3.4,3301149001,13,19,22,15
3.37,3.4,3301149001,15,20,3,15
3.37,3.4,3301149001,17,29,,40
3.4,3.46,3301149001,9,29,,42
3.4,3.46,3301149001,11,20,3,18
3.4,3.46,3301149001,13,19,22,18
3.4,3.46,3301149001,15,20,3,18
3.4,3.46,3301149001,17,29,,43
3.46,3.57,3301149001,9,29,,40
3.46,3.57,3301149001,11,20,3,15
3.46,3.57,3301149001,13,19,22,15
3.46,3.57,3301149001,15,20,3,15
3.46,3.57,3301149001,17,29,,40
3.57,6.6,3301149001,1,29,,40
3.57,6.6,3301149001,2,20,2,4
3.57,6.6,3301149001,3,19,22,15
