"BLM","County","Route","Sp Case","Co. Seq.","I. C. Order","Item Code","Route Feature Desc","Description Code Flag","GPS Elevation","Description Code","Updated By","Updated On","GPS Latitude","GPS Longitude","GPS Code","ID NUMBER","Sub Route","Mile Post","Mile Post Suffix"
0.078,HAMILTON,0B745,0-NONE ,1,0,9-OTHER-MINOR,2-WAY STOP,0,714.2,902   2-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,35.00859,-85.241636,087,330B745001,00,,--
0.234,HAMILTON,0B745,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,717.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.006877,-85.243296,STOP SIGN,330B745001,00,,--
0,HAMILTON,0B746,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,723.4,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.008235,-85.242289,STOP SIGN,330B746001,00,,--
0,HAMILTON,0B747,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,732.6,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.003676,-85.24242,STOP SIGN,330B747001,00,,--
0,HAMILTON,0B748,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,719.8,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.004376,-85.241486,STOP SIGN,330B748001,00,,--
0,HAMILTON,0B749,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,740.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.005125,-85.241109,STOP SIGN,330B749001,00,,--
0,HAMILTON,0B750,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,710.3,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.008973,-85.239342,STOP SIGN,330B750001,00,,--
0,HAMILTON,0B751,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,697.8,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.008469,-85.237962,STOP SIGN,330B751001,00,,--
0.84,HAMILTON,0B751,0-NONE ,1,0,9-OTHER-MINOR,TRAFFIC SIGNAL,0,718.5,905   TRAFFIC SIGNAL,AUTO_INV,3/20/2009 7:47:22 AM,34.997198,-85.243123,080,330B751001,00,,--
0,HAMILTON,0B752,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,706,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.006393,-85.239154,STOP SIGN,330B752001,00,,--
0,HAMILTON,0B753,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,711,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.005529,-85.239624,STOP SIGN,330B753001,00,,--
0,HAMILTON,0B754,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,683.7,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.002107,-85.232929,STOP SIGN,330B754001,00,,--
0.246,HAMILTON,0B754,0-NONE ,1,0,9-OTHER-MINOR,2-WAY STOP,0,696.2,902   2-WAY STOP,AUTO_INV,3/20/2009 7:47:22 AM,34.999982,-85.235262,087,330B754001,00,,--
0.589,HAMILTON,0B754,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,700.8,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.00173,-85.24085,STOP SIGN,330B754001,00,,--
0,HAMILTON,0B755,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,702.4,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.001126,-85.240944,STOP SIGN,330B755001,00,,--
0.326,HAMILTON,0B755,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,691.3,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,34.999202,-85.23568,STOP SIGN,330B755001,00,,--
0,HAMILTON,0B756,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,706.4,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.000402,-85.24108,STOP SIGN,330B756001,00,,--
0.361,HAMILTON,0B756,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,723.1,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.001529,-85.246415,STOP SIGN,330B756001,00,,--
0,HAMILTON,0B757,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,700.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,34.999317,-85.23862,STOP SIGN,330B757001,00,,--
0.153,HAMILTON,0B757,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,706.7,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.000266,-85.241111,STOP SIGN,330B757001,00,,--
0,HAMILTON,0B758,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,708.3,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,34.999524,-85.241515,STOP SIGN,330B758001,00,,--
0.154,HAMILTON,0B758,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,700.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,34.998579,-85.239049,STOP SIGN,330B758001,00,,--
0,HAMILTON,0B759,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,695.5,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.002747,-85.239531,STOP SIGN,330B759001,00,,--
0.177,HAMILTON,0B759,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,696.2,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.005175,-85.238594,STOP SIGN,330B759001,00,,--
0,HAMILTON,0B760,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,693.6,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.004352,-85.238988,STOP SIGN,330B760001,00,,--
0.185,HAMILTON,0B760,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,694.2,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.003579,-85.239357,STOP SIGN,330B760001,00,,--
0,HAMILTON,0B761,0-NONE ,1,2,9-OTHER-MINOR,1-WAY YIELD,0,735.2,908   1-WAY YIELD SIGN,AUTO_INV,3/20/2009 7:47:22 AM,35.000454,-85.244234,YIELD SIGN,330B761001,00,,--
0,HAMILTON,0B762,0-NONE ,1,2,9-OTHER-MINOR,1-WAY YIELD,0,729.7,908   1-WAY YIELD SIGN,AUTO_INV,3/20/2009 7:47:22 AM,35.000889,-85.245316,YIELD SIGN,330B762001,00,,--
0,HAMILTON,0B763,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,690.6,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.008097,-85.236984,STOP SIGN,330B763001,00,,--
0.242,HAMILTON,0B763,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,687.3,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.007872,-85.236382,STOP SIGN,330B763001,00,,--
0,HAMILTON,0B764,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,686,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.007538,-85.235476,STOP SIGN,330B764001,00,,--
0.441,HAMILTON,0B764,0-NONE ,1,0,9-OTHER-MINOR,1-WAY STOP,0,686,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.003689,-85.23326,STOP SIGN,330B764001,00,,--
0,HAMILTON,0B766,0-NONE ,1,2,9-OTHER-MINOR,1-WAY STOP,0,685.7,901   1-WAY STOP ,AUTO_INV,3/20/2009 7:47:22 AM,35.004165,-85.235793,STOP SIGN,330B766001,00,,--
