Index,GridBlock,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
104,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
105,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
106,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107,154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
108,155,0,0,0,0,0,1,1,6,2,0,2,0,0,3,0,1,1,0,1,0,0,1,0,0
109,156,0,1,0,1,0,0,2,4,3,7,2,14,9,9,8,17,10,16,5,2,0,2,0,0
110,157,1,0,0,0,0,0,0,6,4,4,11,5,10,11,4,5,10,19,6,1,1,1,0,0
111,158,0,0,0,0,0,0,0,1,11,8,4,4,6,2,4,3,2,3,0,4,0,1,0,1
112,159,0,0,0,0,0,2,0,5,1,4,2,2,12,6,1,3,4,5,0,0,0,0,0,0
113,160,0,0,0,0,0,0,0,7,1,5,0,3,3,2,2,2,2,1,0,0,0,0,0,0
114,161,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,2,0,0,0,0,2
115,162,1,0,0,0,0,0,0,0,3,1,0,2,2,7,6,5,7,5,0,0,2,0,0,0
116,163,0,0,0,0,0,0,0,2,4,1,0,0,0,1,0,9,9,3,1,6,0,0,0,0
117,164,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
118,165,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0
119,166,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
120,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0
121,168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0
122,170,0,0,0,0,1,0,0,2,2,2,4,2,1,5,4,3,2,1,3,0,0,0,0,0
123,171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
124,172,0,0,0,1,0,0,1,0,6,1,0,1,2,0,3,2,1,4,1,0,0,0,1,0
