GRID_ID,ORIG_FID,X,Y,Center_Lat,Center_Long,Ghost_Lat,Ghost_Long
Z-11,545,-85.1942982,35.07051951,,,35.0683799546183,-85.1932924605184
Z-11,545,-85.20151473,35.07314482,,,35.0723179196183,-85.2041172555184
Z-11,545,-85.19832138,35.07907777,,,35.0812173446183,-85.1993272305184
Z-11,545,-85.19110445,35.07645226,,,35.0772790796183,-85.1885018355184
AA-11,546,-85.183888,35.07382634,35.0721730057628,-85.1890931889575,35.0746530071186,-85.1812854055212
AA-11,546,-85.18708215,35.06789379,,,35.0657541821186,-85.1860766305212
AA-11,546,-85.1942982,35.07051951,,,35.0696927621186,-85.1969007055213
AA-11,546,-85.19110445,35.07645226,,,35.0785918871186,-85.1921100805212
AA-11,546,-85.183888,35.07382634,,,35.0746530071186,-85.1812854055212
AB-11,547,-85.17667202,35.0712,35.0695469762227,-85.1818771758348,35.0720265118887,-85.1740694420826
AB-11,547,-85.17986658,35.06526765,,,35.0631279868887,-85.1788612820826
AB-11,547,-85.18708215,35.06789379,,,35.0670671968887,-85.1896846370826
AB-11,547,-85.183888,35.07382634,,,35.0759660218887,-85.1848934120826
AB-11,547,-85.17667202,35.0712,,,35.0720265118887,-85.1740694420826
AC-11,548,-85.16945652,35.06857324,35.0669205257614,-85.1746616389459,35.0693995971193,-85.166853960527
AC-11,548,-85.17265148,35.06264109,,,35.0605013721193,-85.171646400527
AC-11,548,-85.17986658,35.06526765,,,35.0644412121193,-85.182469050527
AC-11,548,-85.17667202,35.0712,,,35.0733397371193,-85.177677210527
AC-11,548,-85.16945652,35.06857324,,,35.0693995971193,-85.166853960527
AD-11,549,-85.16224151,35.06594606,35.0642936588777,-85.1674465846213,35.0667722605611,-85.1596389726894
AD-11,549,-85.16543687,35.06001412,,,35.0578743505611,-85.1644320126893
AD-11,549,-85.17265148,35.06264109,,,35.0618148055611,-85.1752539276894
AD-11,549,-85.16945652,35.06857324,,,35.0707130305611,-85.1704614876894
AD-11,549,-85.16224151,35.06594606,,,35.0667722605611,-85.1596389726894
AE-11,550,-85.15502696,35.06331847,35.0616663762203,-85.1602320058172,35.0641445168898,-85.1524244370914
AE-11,550,-85.15822273,35.05738673,,,35.0552469068898,-85.1572180920914
AE-11,550,-85.16543687,35.06001412,,,35.0591879918898,-85.1680393020914
AE-11,550,-85.16224151,35.06594606,,,35.0680859018898,-85.1632462620914
AE-11,550,-85.15502696,35.06331847,,,35.0641445168898,-85.1524244370914
AF-11,551,-85.1478129,35.06069047,35.059038677642,-85.1530179032477,35.061516366179,-85.1452103983761
AF-11,551,-85.15100907,35.05475892,,,35.052619041179,-85.1500046533761
AF-11,551,-85.15822273,35.05738673,,,35.056560756179,-85.1608251433762
AF-11,551,-85.15502696,35.06331847,,,35.065458366179,-85.1560314883762
AF-11,551,-85.1478129,35.06069047,,,35.061516366179,-85.1452103983761
AG-11,552,-85.14059932,35.05806204,35.0564105638759,-85.1458042846036,35.0588877780621,-85.1379968376982
AG-11,552,-85.14379589,35.0521307,,,35.0499907680621,-85.1427916926982
AG-11,552,-85.15100907,35.05475892,,,35.053933098062,-85.1536114626982
AG-11,552,-85.1478129,35.06069047,,,35.0628304230621,-85.1488172076982
AG-11,552,-85.14059932,35.05806204,,,35.0588877780621,-85.1379968376982
AH-11,553,-85.13338621,35.05543321,35.0537820326405,-85.1385911382365,35.0562587986798,-85.1307837458818
AH-11,553,-85.13658318,35.04950206,,,35.0473620736798,-85.1355792008818
AH-11,553,-85.14379589,35.0521307,,,35.0513050336798,-85.1463982658818
AH-11,553,-85.14059932,35.05806204,,,35.0602020436798,-85.1416034108818
AH-11,553,-85.13338621,35.05543321,,,35.0562587986798,-85.1307837458818
AI-11,554,-85.12617359,35.05280395,35.0511530888747,-85.1313784745918,35.0536293805627,-85.1235711477041
AI-11,554,-85.12937096,35.04687301,,,35.0447329705627,-85.1283672027041
AI-11,554,-85.13658318,35.04950206,,,35.0486765455627,-85.1391855327041
AI-11,554,-85.13338621,35.05543321,,,35.0575732705627,-85.1343900777041
AI-11,554,-85.12617359,35.05280395,,,35.0536293805627,-85.1235711477041
AJ-11,555,-85.11896144,35.05017428,35.0485237257564,-85.1241662889056,35.0509995571218,-85.1163590155472
AJ-11,555,-85.12215921,35.04424354,,,35.0421034471218,-85.1211556705472
AJ-11,555,-85.12937096,35.04687301,,,35.0460476521218,-85.1319732955472
AJ-11,555,-85.12617359,35.05280395,,,35.0549440621218,-85.1271772405472
AJ-11,555,-85.11896144,35.05017428,,,35.0509995571218,-85.1163590155472
