Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Unix,precipIntensity,humidity,Prediction,Probability
12,3,0,1,0,0,1,0,0,1,21,9,25,0,7,11,1517763600,0.007,0.89,0,0.12604033946990967
16,4,0,1,0,1,0,0,0,0,21,9,25,0,7,11,1517778000,0.0,0.85,1,0.9391785860061646
20,1,0,1,0,1,0,0,0,0,21,9,25,0,7,11,1517792400,0.0,0.77,1,0.9580671787261963
23,1,0,1,0,1,0,0,0,0,21,9,25,0,7,11,1517803200,0.0,0.83,1,0.9757893681526184
0,1,0,1,0,1,0,0,0,0,22,10,25,0,0,1,1517720400,0.0,0.37,1,0.9998694658279419
4,1,0,1,0,0,1,0,0,1,22,10,25,0,0,1,1517734800,0.051,0.8,1,0.9998694658279419
8,2,0,1,0,0,1,0,0,1,22,10,25,0,0,1,1517749200,0.158,0.9,1,0.9998694062232971
12,3,0,1,0,0,1,0,0,1,22,10,25,0,0,1,1517763600,0.007,0.89,1,0.9998694062232971
16,4,0,1,0,1,0,0,0,0,22,10,25,0,0,1,1517778000,0.0,0.85,1,0.9998694658279419
20,1,0,1,0,1,0,0,0,0,22,10,25,0,0,1,1517792400,0.0,0.77,1,0.9998694658279419
23,1,0,1,0,1,0,0,0,0,22,10,25,0,0,1,1517803200,0.0,0.83,1,0.9998694658279419
0,1,0,1,0,1,0,0,0,0,23,11,25,1,0,1,1517720400,0.0,0.36,1,0.9998694062232971
4,1,0,1,0,0,1,0,0,1,23,11,25,1,0,1,1517734800,0.049,0.79,1,0.9998693466186523
8,2,0,1,0,0,1,0,0,1,23,11,25,1,0,1,1517749200,0.16,0.89,1,0.9998693466186523
12,3,0,1,0,0,1,0,0,1,23,11,25,1,0,1,1517763600,0.006,0.88,1,0.9998694062232971
16,4,0,1,0,1,0,0,0,0,23,11,25,1,0,1,1517778000,0.0,0.84,1,0.9998694658279419
20,1,0,1,0,1,0,0,0,0,23,11,25,1,0,1,1517792400,0.0,0.77,1,0.9998694062232971
23,1,0,1,0,1,0,0,0,0,23,11,25,1,0,1,1517803200,0.0,0.82,1,0.9998694062232971
0,1,0,1,0,1,0,0,0,0,24,12,25,1,0,1,1517720400,0.0,0.36,1,0.9998693466186523
4,1,0,1,0,0,1,0,0,1,24,12,25,1,0,1,1517734800,0.048,0.79,1,0.9998693466186523
8,2,0,1,0,0,1,0,0,1,24,12,25,1,0,1,1517749200,0.161,0.89,1,0.9998693466186523
12,3,0,1,0,0,1,0,0,1,24,12,25,1,0,1,1517763600,0.006,0.89,1,0.9998694062232971
16,4,0,1,0,1,0,0,0,0,24,12,25,1,0,1,1517778000,0.0,0.84,1,0.9998694062232971
20,1,0,1,0,1,0,0,0,0,24,12,25,1,0,1,1517792400,0.0,0.77,1,0.9998694062232971
23,1,0,1,0,1,0,0,0,0,24,12,25,1,0,1,1517803200,0.0,0.82,1,0.9998694062232971
0,1,0,1,0,1,0,0,0,0,25,13,25,0,2,1,1517720400,0.0,0.36,1,0.9998693466186523
4,1,0,1,0,0,1,0,0,1,25,13,25,0,2,1,1517734800,0.048,0.79,1,0.9998694062232971
8,2,0,1,0,0,1,0,0,1,25,13,25,0,2,1,1517749200,0.163,0.89,1,0.9998693466186523
12,3,0,1,0,0,1,0,0,1,25,13,25,0,2,1,1517763600,0.006,0.89,1,0.9998694062232971
16,4,0,1,0,1,0,0,0,0,25,13,25,0,2,1,1517778000,0.0,0.85,1,0.9998694062232971
20,1,0,1,0,1,0,0,0,0,25,13,25,0,2,1,1517792400,0.0,0.77,1,0.9998694062232971
23,1,0,1,0,1,0,0,0,0,25,13,25,0,2,1,1517803200,0.0,0.83,1,0.9998694062232971
0,1,0,1,0,1,0,0,0,0,26,14,25,1,5,1,1517720400,0.0,0.36,0,0.0004519522190093994
4,1,0,1,0,0,1,0,0,1,26,14,25,1,5,1,1517734800,0.048,0.79,0,0.0004494786262512207
8,2,0,1,0,0,1,0,0,1,26,14,25,1,5,1,1517749200,0.164,0.89,0,0.0004475414752960205
