Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Land_Use_Mode,Road_Count,Unix,precipIntensity,humidity,Prediction,Probability
12,3,0,1,0,0,1,0,0,1,21,9,25,7,11,1517763600,0.007,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,21,9,25,7,11,1517778000,0.0,0.85,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,21,9,25,7,11,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,21,9,25,7,11,1517803200,0.0,0.83,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,22,10,25,0,1,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,22,10,25,0,1,1517734800,0.051,0.8,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,22,10,25,0,1,1517749200,0.158,0.9,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,22,10,25,0,1,1517763600,0.007,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,22,10,25,0,1,1517778000,0.0,0.85,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,22,10,25,0,1,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,22,10,25,0,1,1517803200,0.0,0.83,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,23,11,25,0,1,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,23,11,25,0,1,1517734800,0.049,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,23,11,25,0,1,1517749200,0.16,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,23,11,25,0,1,1517763600,0.006,0.88,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,23,11,25,0,1,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,23,11,25,0,1,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,23,11,25,0,1,1517803200,0.0,0.82,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,24,12,25,0,1,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,24,12,25,0,1,1517734800,0.048,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,24,12,25,0,1,1517749200,0.161,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,24,12,25,0,1,1517763600,0.006,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,24,12,25,0,1,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,24,12,25,0,1,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,24,12,25,0,1,1517803200,0.0,0.82,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,25,13,25,2,1,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,25,13,25,2,1,1517734800,0.048,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,25,13,25,2,1,1517749200,0.163,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,25,13,25,2,1,1517763600,0.006,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,25,13,25,2,1,1517778000,0.0,0.85,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,25,13,25,2,1,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,25,13,25,2,1,1517803200,0.0,0.83,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,26,14,25,5,1,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,26,14,25,5,1,1517734800,0.048,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,26,14,25,5,1,1517749200,0.164,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,26,14,25,5,1,1517763600,0.006,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,26,14,25,5,1,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,26,14,25,5,1,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,26,14,25,5,1,1517803200,0.0,0.82,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,27,15,25,4,9,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,27,15,25,4,9,1517734800,0.048,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,27,15,25,4,9,1517749200,0.165,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,27,15,25,4,9,1517763600,0.006,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,27,15,25,4,9,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,27,15,25,4,9,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,27,15,25,4,9,1517803200,0.0,0.82,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,28,16,25,5,10,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,28,16,25,5,10,1517734800,0.047,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,28,16,25,5,10,1517749200,0.167,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,28,16,25,5,10,1517763600,0.006,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,28,16,25,5,10,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,28,16,25,5,10,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,28,16,25,5,10,1517803200,0.0,0.82,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,29,17,25,0,1,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,29,17,25,0,1,1517734800,0.047,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,29,17,25,0,1,1517749200,0.168,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,29,17,25,0,1,1517763600,0.006,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,29,17,25,0,1,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,29,17,25,0,1,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,29,17,25,0,1,1517803200,0.0,0.82,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,30,18,25,0,9,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,30,18,25,0,9,1517734800,0.047,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,30,18,25,0,9,1517749200,0.169,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,30,18,25,0,9,1517763600,0.006,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,30,18,25,0,9,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,30,18,25,0,9,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,30,18,25,0,9,1517803200,0.0,0.82,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,31,19,25,7,18,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,31,19,25,7,18,1517734800,0.047,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,31,19,25,7,18,1517749200,0.17,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,31,19,25,7,18,1517763600,0.006,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,31,19,25,7,18,1517778000,0.0,0.84,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,31,19,25,7,18,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,31,19,25,7,18,1517803200,0.0,0.82,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,32,20,25,7,17,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,32,20,25,7,17,1517734800,0.044,0.8,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,32,20,25,7,17,1517749200,0.171,0.9,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,32,20,25,7,17,1517763600,0.005,0.9,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,32,20,25,7,17,1517778000,0.0,0.85,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,32,20,25,7,17,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,32,20,25,7,17,1517803200,0.0,0.83,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,33,21,25,7,18,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,33,21,25,7,18,1517734800,0.044,0.81,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,33,21,25,7,18,1517749200,0.172,0.92,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,33,21,25,7,18,1517763600,0.005,0.92,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,33,21,25,7,18,1517778000,0.0,0.87,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,33,21,25,7,18,1517792400,0.0,0.79,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,33,21,25,7,18,1517803200,0.0,0.85,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,34,22,25,7,14,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,34,22,25,7,14,1517734800,0.044,0.82,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,34,22,25,7,14,1517749200,0.173,0.93,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,34,22,25,7,14,1517763600,0.005,0.93,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,34,22,25,7,14,1517778000,0.0,0.87,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,34,22,25,7,14,1517792400,0.0,0.8,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,34,22,25,7,14,1517803200,0.0,0.86,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,35,23,25,7,19,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,35,23,25,7,19,1517734800,0.043,0.82,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,35,23,25,7,19,1517749200,0.174,0.93,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,35,23,25,7,19,1517763600,0.005,0.93,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,35,23,25,7,19,1517778000,0.0,0.87,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,35,23,25,7,19,1517792400,0.0,0.79,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,35,23,25,7,19,1517803200,0.0,0.85,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,36,24,25,7,20,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,36,24,25,7,20,1517734800,0.043,0.81,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,36,24,25,7,20,1517749200,0.175,0.92,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,36,24,25,7,20,1517763600,0.005,0.92,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,36,24,25,7,20,1517778000,0.0,0.86,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,36,24,25,7,20,1517792400,0.0,0.79,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,36,24,25,7,20,1517803200,0.0,0.85,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,37,25,25,7,17,1517720400,0.0,0.36,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,37,25,25,7,17,1517734800,0.043,0.81,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,37,25,25,7,17,1517749200,0.176,0.91,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,37,25,25,7,17,1517763600,0.004,0.91,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,37,25,25,7,17,1517778000,0.0,0.86,1,0.9999940395355225
