Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Land_Use_Mode,Road_Count,Unix,precipIntensity,Prediction,Probability
8,2,0,1,0,0,1,0,0,1,30,18,25,0,9,1517749200,0.169,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,30,18,25,0,9,1517763600,0.006,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,30,18,25,0,9,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,30,18,25,0,9,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,30,18,25,0,9,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,31,19,25,7,18,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,31,19,25,7,18,1517734800,0.047,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,31,19,25,7,18,1517749200,0.17,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,31,19,25,7,18,1517763600,0.006,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,31,19,25,7,18,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,31,19,25,7,18,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,31,19,25,7,18,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,32,20,25,7,17,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,32,20,25,7,17,1517734800,0.044,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,32,20,25,7,17,1517749200,0.171,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,32,20,25,7,17,1517763600,0.005,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,32,20,25,7,17,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,32,20,25,7,17,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,32,20,25,7,17,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,33,21,25,7,18,1517720400,0.0,1,0.9999307990074158
4,1,0,1,0,0,1,0,0,1,33,21,25,7,18,1517734800,0.044,1,0.9999308586120605
8,2,0,1,0,0,1,0,0,1,33,21,25,7,18,1517749200,0.172,1,0.999930739402771
12,3,0,1,0,0,1,0,0,1,33,21,25,7,18,1517763600,0.005,1,0.9999307990074158
16,4,0,1,0,1,0,0,0,0,33,21,25,7,18,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,33,21,25,7,18,1517792400,0.0,1,0.9999308586120605
23,1,0,1,0,1,0,0,0,0,33,21,25,7,18,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,34,22,25,7,14,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,34,22,25,7,14,1517734800,0.044,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,34,22,25,7,14,1517749200,0.173,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,34,22,25,7,14,1517763600,0.005,1,0.999930739402771
16,4,0,1,0,1,0,0,0,0,34,22,25,7,14,1517778000,0.0,1,0.9999307990074158
20,1,0,1,0,1,0,0,0,0,34,22,25,7,14,1517792400,0.0,1,0.9999307990074158
23,1,0,1,0,1,0,0,0,0,34,22,25,7,14,1517803200,0.0,1,0.999930739402771
0,1,0,1,0,1,0,0,0,0,35,23,25,7,19,1517720400,0.0,1,0.999930739402771
4,1,0,1,0,0,1,0,0,1,35,23,25,7,19,1517734800,0.043,1,0.9999307990074158
8,2,0,1,0,0,1,0,0,1,35,23,25,7,19,1517749200,0.174,1,0.9999307990074158
12,3,0,1,0,0,1,0,0,1,35,23,25,7,19,1517763600,0.005,1,0.9999308586120605
16,4,0,1,0,1,0,0,0,0,35,23,25,7,19,1517778000,0.0,1,0.9999308586120605
20,1,0,1,0,1,0,0,0,0,35,23,25,7,19,1517792400,0.0,1,0.9999308586120605
23,1,0,1,0,1,0,0,0,0,35,23,25,7,19,1517803200,0.0,1,0.9999307990074158
0,1,0,1,0,1,0,0,0,0,36,24,25,7,20,1517720400,0.0,1,0.9999308586120605
