Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Unix,precipIntensity,Prediction,Probability
4,1,0,1,0,0,1,0,0,1,28,16,25,0,5,10,1517734800,0.047,1,0.9996424317359924
8,2,0,1,0,0,1,0,0,1,28,16,25,0,5,10,1517749200,0.167,1,0.9996421337127686
12,3,0,1,0,0,1,0,0,1,28,16,25,0,5,10,1517763600,0.006,1,0.9996424913406372
16,4,0,1,0,1,0,0,0,0,28,16,25,0,5,10,1517778000,0.0,1,0.9996424913406372
20,1,0,1,0,1,0,0,0,0,28,16,25,0,5,10,1517792400,0.0,1,0.9996424913406372
23,1,0,1,0,1,0,0,0,0,28,16,25,0,5,10,1517803200,0.0,1,0.9996424913406372
0,1,0,1,0,1,0,0,0,0,29,17,25,0,0,1,1517720400,0.0,1,0.9996426105499268
4,1,0,1,0,0,1,0,0,1,29,17,25,0,0,1,1517734800,0.047,1,0.9996427297592163
8,2,0,1,0,0,1,0,0,1,29,17,25,0,0,1,1517749200,0.168,1,0.9996426105499268
12,3,0,1,0,0,1,0,0,1,29,17,25,0,0,1,1517763600,0.006,1,0.9996426105499268
16,4,0,1,0,1,0,0,0,0,29,17,25,0,0,1,1517778000,0.0,1,0.9996427297592163
20,1,0,1,0,1,0,0,0,0,29,17,25,0,0,1,1517792400,0.0,1,0.9996427297592163
23,1,0,1,0,1,0,0,0,0,29,17,25,0,0,1,1517803200,0.0,1,0.9996427297592163
0,1,0,1,0,1,0,0,0,0,30,18,25,0,0,9,1517720400,0.0,1,0.9996426105499268
4,1,0,1,0,0,1,0,0,1,30,18,25,0,0,9,1517734800,0.047,1,0.9996426105499268
8,2,0,1,0,0,1,0,0,1,30,18,25,0,0,9,1517749200,0.169,1,0.9996426105499268
12,3,0,1,0,0,1,0,0,1,30,18,25,0,0,9,1517763600,0.006,1,0.9996427297592163
16,4,0,1,0,1,0,0,0,0,30,18,25,0,0,9,1517778000,0.0,1,0.9996426105499268
20,1,0,1,0,1,0,0,0,0,30,18,25,0,0,9,1517792400,0.0,1,0.9996426105499268
23,1,0,1,0,1,0,0,0,0,30,18,25,0,0,9,1517803200,0.0,1,0.9996426105499268
0,1,0,1,0,1,0,0,0,0,31,19,25,0,7,18,1517720400,0.0,1,0.9996292591094971
4,1,0,1,0,0,1,0,0,1,31,19,25,0,7,18,1517734800,0.047,1,0.9996130466461182
8,2,0,1,0,0,1,0,0,1,31,19,25,0,7,18,1517749200,0.17,1,0.9991273880004883
12,3,0,1,0,0,1,0,0,1,31,19,25,0,7,18,1517763600,0.006,1,0.9996287226676941
16,4,0,1,0,1,0,0,0,0,31,19,25,0,7,18,1517778000,0.0,1,0.9996305704116821
20,1,0,1,0,1,0,0,0,0,31,19,25,0,7,18,1517792400,0.0,1,0.999630868434906
23,1,0,1,0,1,0,0,0,0,31,19,25,0,7,18,1517803200,0.0,1,0.9996310472488403
0,1,0,1,0,1,0,0,0,0,32,20,25,0,7,17,1517720400,0.0,1,0.9996231198310852
4,1,0,1,0,0,1,0,0,1,32,20,25,0,7,17,1517734800,0.044,1,0.9995988607406616
8,2,0,1,0,0,1,0,0,1,32,20,25,0,7,17,1517749200,0.171,1,0.9984105825424194
12,3,0,1,0,0,1,0,0,1,32,20,25,0,7,17,1517763600,0.005,1,0.999622642993927
16,4,0,1,0,1,0,0,0,0,32,20,25,0,7,17,1517778000,0.0,1,0.9996250867843628
20,1,0,1,0,1,0,0,0,0,32,20,25,0,7,17,1517792400,0.0,1,0.999625563621521
23,1,0,1,0,1,0,0,0,0,32,20,25,0,7,17,1517803200,0.0,1,0.9996259212493896
0,1,0,1,0,1,0,0,0,0,33,21,25,0,7,18,1517720400,0.0,1,0.999629020690918
4,1,0,1,0,0,1,0,0,1,33,21,25,0,7,18,1517734800,0.044,1,0.9996141195297241
8,2,0,1,0,0,1,0,0,1,33,21,25,0,7,18,1517749200,0.172,1,0.9990724921226501
12,3,0,1,0,0,1,0,0,1,33,21,25,0,7,18,1517763600,0.005,1,0.9996287226676941
16,4,0,1,0,1,0,0,0,0,33,21,25,0,7,18,1517778000,0.0,1,0.999630331993103
20,1,0,1,0,1,0,0,0,0,33,21,25,0,7,18,1517792400,0.0,1,0.9996305704116821
23,1,0,1,0,1,0,0,0,0,33,21,25,0,7,18,1517803200,0.0,1,0.9996308088302612
0,1,0,1,0,1,0,0,0,0,34,22,25,0,7,14,1517720400,0.0,1,0.9995681643486023
4,1,0,1,0,0,1,0,0,1,34,22,25,0,7,14,1517734800,0.044,1,0.9994237422943115
8,2,0,1,0,0,1,0,0,1,34,22,25,0,7,14,1517749200,0.173,1,0.9231972694396973
12,3,0,1,0,0,1,0,0,1,34,22,25,0,7,14,1517763600,0.005,1,0.9995651245117188
16,4,0,1,0,1,0,0,0,0,34,22,25,0,7,14,1517778000,0.0,1,0.9995774626731873
20,1,0,1,0,1,0,0,0,0,34,22,25,0,7,14,1517792400,0.0,1,0.999579668045044
23,1,0,1,0,1,0,0,0,0,34,22,25,0,7,14,1517803200,0.0,1,0.9995812773704529
0,1,0,1,0,1,0,0,0,0,35,23,25,0,7,19,1517720400,0.0,1,0.9996328353881836
4,1,0,1,0,0,1,0,0,1,35,23,25,0,7,19,1517734800,0.043,1,0.9996234178543091
8,2,0,1,0,0,1,0,0,1,35,23,25,0,7,19,1517749200,0.174,1,0.9993326663970947
12,3,0,1,0,0,1,0,0,1,35,23,25,0,7,19,1517763600,0.005,1,0.9996325969696045
16,4,0,1,0,1,0,0,0,0,35,23,25,0,7,19,1517778000,0.0,1,0.9996336698532104
20,1,0,1,0,1,0,0,0,0,35,23,25,0,7,19,1517792400,0.0,1,0.9996337890625
23,1,0,1,0,1,0,0,0,0,35,23,25,0,7,19,1517803200,0.0,1,0.9996340274810791
0,1,0,1,0,1,0,0,0,0,36,24,25,0,7,20,1517720400,0.0,1,0.9996353387832642
4,1,0,1,0,0,1,0,0,1,36,24,25,0,7,20,1517734800,0.043,1,0.9996291995048523
8,2,0,1,0,0,1,0,0,1,36,24,25,0,7,20,1517749200,0.175,1,0.9994689226150513
12,3,0,1,0,0,1,0,0,1,36,24,25,0,7,20,1517763600,0.005,1,0.9996353387832642
16,4,0,1,0,1,0,0,0,0,36,24,25,0,7,20,1517778000,0.0,1,0.9996359348297119
20,1,0,1,0,1,0,0,0,0,36,24,25,0,7,20,1517792400,0.0,1,0.9996360540390015
23,1,0,1,0,1,0,0,0,0,36,24,25,0,7,20,1517803200,0.0,1,0.9996362328529358
0,1,0,1,0,1,0,0,0,0,37,25,25,0,7,17,1517720400,0.0,1,0.999622106552124
4,1,0,1,0,0,1,0,0,1,37,25,25,0,7,17,1517734800,0.043,1,0.9995970726013184
8,2,0,1,0,0,1,0,0,1,37,25,25,0,7,17,1517749200,0.176,1,0.9979523420333862
12,3,0,1,0,0,1,0,0,1,37,25,25,0,7,17,1517763600,0.004,1,0.9996219873428345
16,4,0,1,0,1,0,0,0,0,37,25,25,0,7,17,1517778000,0.0,1,0.9996241927146912
20,1,0,1,0,1,0,0,0,0,37,25,25,0,7,17,1517792400,0.0,1,0.9996247291564941
23,1,0,1,0,1,0,0,0,0,37,25,25,0,7,17,1517803200,0.0,1,0.9996250867843628
0,1,0,1,0,1,0,0,0,0,38,26,25,0,7,19,1517720400,0.0,1,0.9996324181556702
4,1,0,1,0,0,1,0,0,1,38,26,25,0,7,19,1517734800,0.043,1,0.9996227622032166
8,2,0,1,0,0,1,0,0,1,38,26,25,0,7,19,1517749200,0.178,1,0.9992772340774536
12,3,0,1,0,0,1,0,0,1,38,26,25,0,7,19,1517763600,0.004,1,0.9996324777603149
16,4,0,1,0,1,0,0,0,0,38,26,25,0,7,19,1517778000,0.0,1,0.9996334314346313
20,1,0,1,0,1,0,0,0,0,38,26,25,0,7,19,1517792400,0.0,1,0.9996336102485657
23,1,0,1,0,1,0,0,0,0,38,26,25,0,7,19,1517803200,0.0,1,0.9996337890625
0,1,0,1,0,1,0,0,0,0,39,27,25,0,7,12,1517720400,0.0,1,0.9993966817855835
