,BLM,ELM,Co. Seq.,ID_NUMBER,Thru_Lanes,ROW ,Num_Lns,Spd_Limit,Terrain,Land_Use,Illum,Operation,Acc_Ctrl,Sch Spd Limit,Truck Spd Limit,BLM_Lat,BLM_Long,ELM_Lat,ELM_Long
33,2.54,2.98,1,3301143001,2,60.0,2,45.0,2.0,0,0.0,2,0,30.0,,35.0005219239933,-85.0541418962302,34.9953985495497,-85.0586071184644
34,2.98,5.57,1,3301143001,2,60.0,2,45.0,2.0,0,0.0,2,0,,,34.9953985495497,-85.0586071184644,34.9998182260445,-85.0947200305908
35,0.0,0.92,1,3301145001,2,100.0,2,45.0,2.0,0,,2,0,,,35.1747765675037,-85.0277108626695,35.1627463823763,-85.0345858745093
36,0.92,4.18,1,3301145001,2,100.0,2,50.0,2.0,0,,2,0,,,35.1627463823763,-85.0345858745093,35.1183364570612,-85.0469589121385
37,4.18,5.09,1,3301145001,2,40.0,2,50.0,2.0,0,,2,0,,,35.1183364570612,-85.0469589121385,35.107232148259,-85.0482735054997
38,5.09,6.02,1,3301145001,2,40.0,2,40.0,2.0,0,,2,0,,,35.107232148259,-85.0482735054997,35.0943037303561,-85.0529242997346
39,6.02,6.67,1,3301145001,2,40.0,2,40.0,2.0,0,1.0,2,0,,,35.0943037303561,-85.0529242997346,35.0854878271054,-85.0570361389958
40,6.67,6.88,1,3301145001,2,40.0,2,40.0,2.0,7,1.0,2,0,,,35.0854878271054,-85.0570361389958,35.0826873872254,-85.0585349421759
41,0.0,0.11199999999999999,1,3301147001,4,80.0,4,40.0,2.0,2,1.0,2,0,,,35.0985824524887,-85.3280544830505,35.1001974556646,-85.327609481861
42,0.11199999999999999,0.26,1,3301147001,2,60.0,2,40.0,2.0,4,1.0,2,0,,,35.1001974556646,-85.327609481861,35.1022702230754,-85.3274882598745
43,0.26,0.62,1,3301147001,2,50.0,2,40.0,2.0,4,1.0,2,0,,,35.1022702230754,-85.3274882598745,35.1071813570986,-85.3262672523783
44,0.62,0.68,1,3301147001,2,100.0,2,40.0,2.0,4,1.0,2,0,,,35.1071813570986,-85.3262672523783,35.1079330090519,-85.3264387481847
45,0.68,0.78,1,3301147001,2,50.0,2,40.0,2.0,4,1.0,2,0,,,35.1079330090519,-85.3264387481847,35.1091665525135,-85.3272400667269
46,0.78,2.59,1,3301147001,2,40.0,2,40.0,3.0,0,0.0,2,0,,,35.1091665525135,-85.3272400667269,35.1302419853802,-85.3197194749024
47,2.59,3.7260000000000004,1,3301147001,2,40.0,2,40.0,3.0,0,0.0,2,0,,,35.1302419853802,-85.3197194749024,35.1446355430546,-85.3154034491889
48,3.7260000000000004,4.15,1,3301147001,2,40.0,2,40.0,3.0,7,0.0,2,0,,,35.1446355430546,-85.3154034491889,35.1470319847161,-85.3180538622083
49,4.15,6.7410000000000005,1,3301147001,2,40.0,2,30.0,2.0,7,0.0,2,0,,,35.1470319847161,-85.3180538622083,35.1790566106957,-85.3055584230683
50,6.7410000000000005,8.95,1,3301147001,2,40.0,2,35.0,2.0,0,0.0,2,0,,,35.1790566106957,-85.3055584230683,35.2028066585516,-85.3084594246204
51,8.95,11.87,1,3301147001,2,50.0,2,35.0,2.0,0,0.0,2,0,,,35.2028066585516,-85.3084594246204,35.1875326330488,-85.3498575110276
52,0.0,2.967,1,3301149001,2,44.0,2,40.0,2.0,0,,2,0,,,35.2695857692146,-85.1235180385077,35.2995648257932,-85.0966119784924
53,2.967,5.648,1,3301149001,2,40.0,2,40.0,2.0,0,,2,0,,,35.2995648257932,-85.0966119784924,35.3252988742638,-85.0728309255546
54,5.648,9.83,1,3301149001,2,40.0,2,35.0,2.0,0,,2,0,,,35.3252988742638,-85.0728309255546,35.3410179127637,-85.1289890362529
55,0.0,1.39,1,3301151001,2,50.0,2,35.0,2.0,0,0.0,2,0,,,35.3877250035134,-85.1077689845614,35.395255016327,-85.0899139469909
56,1.39,4.45,1,3301151001,2,36.0,2,35.0,2.0,0,0.0,2,0,,,35.395255016327,-85.0899139469909,35.4179980590053,-85.0676668976513
57,4.45,4.836,1,3301151001,2,36.0,2,30.0,2.0,0,0.0,2,0,,,35.4179980590053,-85.0676668976513,35.4185650593219,-85.0611988844421
58,4.836,6.0,1,3301151001,2,40.0,2,30.0,2.0,0,0.0,2,0,,,35.4185650593219,-85.0611988844421,35.4262590730272,-85.0479068560621
