Clear,Cloudy,DayFrame,DayOfWeek,FUNC_CLASS,Foggy,Grid_Num,Hour,Join_Count,NBR_LANES,Rain,RainBefore,Snow,TY_TERRAIN,Unix,WeekDay,cloudCover,dewPoint,humidity,precipIntensity,temperature,windSpeed,visibility,uvIndex
0,1,1,5,19.0,0,18,20,188,2.0,0,0,0,2.0,1580000400,0,0.35,30.05,0.72,0.0,38.29,3.56,10.0,0
0,1,1,5,19.0,0,18,23,188,2.0,0,0,0,2.0,1580011200,0,0.78,29.63,0.78,0.0013,35.78,3.15,10.0,0
0,1,1,5,19.0,0,20,0,45,2.0,0,0,0,2.0,1579928400,0,0.57,35.02,0.81,0.0,40.45,5.45,10.0,0
0,1,1,5,19.0,0,20,4,45,2.0,0,0,0,2.0,1579942800,0,0.75,32.1,0.8,0.0,37.57,5.09,10.0,0
0,1,2,5,19.0,0,20,8,45,2.0,0,0,0,2.0,1579957200,0,0.62,31.74,0.82,0.001,36.64,4.54,10.0,0
0,1,3,5,19.0,0,20,12,45,2.0,0,0,0,2.0,1579971600,0,0.7,31.96,0.7,0.0013,41.15,6.04,10.0,2
0,1,4,5,19.0,0,20,16,45,2.0,0,0,0,2.0,1579986000,0,0.59,33.01,0.64,0.0,44.35,5.3,10.0,1
0,1,1,5,19.0,0,20,20,45,2.0,0,0,0,2.0,1580000400,0,0.32,30.23,0.73,0.0,38.05,3.55,10.0,0
0,1,1,5,19.0,0,20,23,45,2.0,0,0,0,2.0,1580011200,0,0.77,29.79,0.78,0.0013,35.93,3.07,10.0,0
0,1,1,5,19.0,0,21,0,1,2.0,0,0,0,2.0,1579928400,0,0.56,34.59,0.77,0.0,41.31,5.1,10.0,0
0,1,1,5,19.0,0,21,4,1,2.0,0,0,0,2.0,1579942800,0,0.74,31.99,0.78,0.0,38.39,5.01,10.0,0
0,1,2,5,19.0,0,21,8,1,2.0,0,0,0,2.0,1579957200,0,0.62,31.6,0.78,0.0012,37.7,4.32,10.0,0
0,1,3,5,19.0,0,21,12,1,2.0,0,0,0,2.0,1579971600,0,0.68,31.92,0.66,0.001,42.33,6.4,10.0,2
0,1,4,5,19.0,0,21,16,1,2.0,0,0,0,2.0,1579986000,0,0.6,32.84,0.62,0.0,45.16,5.13,10.0,1
0,1,1,5,19.0,0,21,20,1,2.0,0,0,0,2.0,1580000400,0,0.35,29.93,0.71,0.0,38.59,3.5,10.0,0
0,1,1,5,19.0,0,21,23,1,2.0,0,0,0,2.0,1580011200,0,0.78,28.71,0.75,0.001,35.87,3.26,10.0,0
0,1,1,5,19.0,0,22,0,3,2.0,0,0,0,2.0,1579928400,0,0.56,34.57,0.77,0.0,41.31,5.11,10.0,0
0,1,1,5,19.0,0,22,4,3,2.0,0,0,0,2.0,1579942800,0,0.74,31.98,0.78,0.0,38.37,5.02,10.0,0
0,1,2,5,19.0,0,22,8,3,2.0,0,0,0,2.0,1579957200,0,0.62,31.61,0.79,0.0012,37.69,4.31,10.0,0
0,1,3,5,19.0,0,22,12,3,2.0,0,0,0,2.0,1579971600,0,0.68,31.94,0.66,0.0011,42.32,6.38,10.0,2
0,1,4,5,19.0,0,22,16,3,2.0,0,0,0,2.0,1579986000,0,0.61,32.81,0.62,0.0,45.12,5.13,10.0,1
0,1,1,5,19.0,0,22,20,3,2.0,0,0,0,2.0,1580000400,0,0.36,29.92,0.71,0.0,38.56,3.5,10.0,0
0,1,1,5,19.0,0,22,23,3,2.0,0,0,0,2.0,1580011200,0,0.78,28.69,0.75,0.0011,35.85,3.23,10.0,0
0,1,1,5,19.0,0,23,0,0,2.0,0,0,0,2.0,1579928400,0,0.56,34.53,0.77,0.0,41.25,5.1,10.0,0
0,1,1,5,19.0,0,23,4,0,2.0,0,0,0,2.0,1579942800,0,0.73,31.97,0.77,0.0002,38.4,5.04,10.0,0
0,1,2,5,19.0,0,23,8,0,2.0,0,0,0,2.0,1579957200,0,0.61,31.6,0.78,0.0012,37.69,4.32,10.0,0
0,1,3,5,19.0,0,23,12,0,2.0,0,0,0,2.0,1579971600,0,0.68,31.94,0.66,0.0012,42.32,6.39,10.0,2
0,1,4,5,19.0,0,23,16,0,2.0,0,0,0,2.0,1579986000,0,0.6,32.83,0.62,0.0,45.13,5.11,10.0,1
0,1,1,5,19.0,0,23,20,0,2.0,0,0,0,2.0,1580000400,0,0.36,29.89,0.71,0.0,38.55,3.45,10.0,0
0,1,1,5,19.0,0,23,23,0,2.0,0,0,0,2.0,1580011200,0,0.78,28.59,0.75,0.0012,35.86,3.3,10.0,0
0,1,1,5,19.0,0,24,0,10,2.0,0,0,0,2.0,1579928400,0,0.56,34.5,0.77,0.0,41.19,5.11,10.0,0
0,1,1,5,19.0,0,24,4,10,2.0,0,0,0,2.0,1579942800,0,0.73,31.94,0.78,0.0002,38.32,5.06,10.0,0
0,1,2,5,19.0,0,24,8,10,2.0,0,0,0,2.0,1579957200,0,0.61,31.62,0.79,0.0012,37.62,4.31,10.0,0
0,1,3,5,19.0,0,24,12,10,2.0,0,0,0,2.0,1579971600,0,0.68,32.0,0.67,0.0012,42.24,6.34,10.0,2
0,1,4,5,19.0,0,24,16,10,2.0,0,0,0,2.0,1579986000,0,0.61,32.81,0.62,0.0,45.03,5.11,10.0,1
0,1,1,5,19.0,0,24,20,10,2.0,0,0,0,2.0,1580000400,0,0.36,29.84,0.71,0.0,38.47,3.43,10.0,0
0,1,1,5,19.0,0,24,23,10,2.0,0,0,0,2.0,1580011200,0,0.78,28.63,0.75,0.0012,35.83,3.24,10.0,0
0,1,1,5,19.0,0,25,0,6,2.0,0,0,0,2.0,1579928400,0,0.56,34.56,0.78,0.0,40.82,5.11,10.0,0
0,1,1,5,19.0,0,25,4,6,2.0,0,0,0,2.0,1579942800,0,0.73,31.88,0.78,0.0002,38.06,5.07,10.0,0
0,1,2,5,19.0,0,25,8,6,2.0,0,0,0,2.0,1579957200,0,0.61,31.64,0.8,0.0012,37.31,4.32,10.0,0
0,1,3,5,19.0,0,25,12,6,2.0,0,0,0,2.0,1579971600,0,0.68,31.93,0.68,0.0012,41.81,6.36,10.0,2
0,1,4,5,19.0,0,25,16,6,2.0,0,0,0,2.0,1579986000,0,0.6,32.87,0.63,0.0,44.64,5.1,10.0,1
0,1,1,5,19.0,0,25,20,6,2.0,0,0,0,2.0,1580000400,0,0.37,29.74,0.71,0.0,38.21,3.39,10.0,0
0,1,1,5,19.0,0,25,23,6,2.0,0,0,0,2.0,1580011200,0,0.79,28.91,0.76,0.0013,35.83,3.29,10.0,0
0,1,1,5,19.0,0,26,0,2,2.0,0,0,0,2.0,1579928400,0,0.56,34.54,0.79,0.0,40.68,5.11,10.0,0
0,1,1,5,19.0,0,26,4,2,2.0,0,0,0,2.0,1579942800,0,0.73,31.91,0.79,0.0002,37.9,5.09,10.0,0
0,1,2,5,19.0,0,26,8,2,2.0,0,0,0,2.0,1579957200,0,0.6,31.7,0.8,0.0012,37.15,4.31,10.0,0
0,1,3,5,19.0,0,26,12,2,2.0,0,0,0,2.0,1579971600,0,0.68,31.9,0.68,0.0013,41.63,6.3,10.0,2
0,1,4,5,19.0,0,26,16,2,2.0,0,0,0,2.0,1579986000,0,0.61,32.79,0.63,0.0,44.42,5.11,10.0,1
0,1,1,5,19.0,0,26,20,2,2.0,0,0,0,2.0,1580000400,0,0.37,29.77,0.72,0.0,38.07,3.38,10.0,0
0,1,1,5,19.0,0,26,23,2,2.0,0,0,0,2.0,1580011200,0,0.79,28.95,0.76,0.0013,35.78,3.23,10.0,0
0,1,1,5,,0,27,0,1,,0,0,0,,1579928400,0,0.64,34.04,0.83,0.0006,38.87,7.2,10.0,0
0,1,1,5,,0,27,4,1,,0,0,0,,1579942800,0,0.8,31.81,0.84,0.0005,36.22,6.9,10.0,0
0,1,2,5,,0,27,8,1,,0,0,0,,1579957200,0,0.65,30.84,0.86,0.0011,34.71,5.31,10.0,0
0,1,3,5,,0,27,12,1,,0,0,0,,1579971600,0,0.71,31.98,0.76,0.0015,39.06,6.37,10.0,2
0,1,4,5,,0,27,16,1,,0,0,0,,1579986000,0,0.57,32.63,0.71,0.0,41.42,6.01,10.0,1
0,1,1,5,,0,27,20,1,,0,0,0,,1580000400,0,0.43,30.35,0.78,0.0,36.66,3.93,10.0,0
0,1,1,5,,0,27,23,1,,0,0,0,,1580011200,0,0.77,28.88,0.8,0.0015,34.26,4.22,10.0,0
0,1,1,5,11.0,0,28,0,125,4.0,0,0,0,2.0,1579928400,0,0.62,35.1,0.82,0.0004,40.22,6.55,10.0,0
0,1,1,5,11.0,0,28,4,125,4.0,0,0,0,2.0,1579942800,0,0.78,32.11,0.81,0.0003,37.51,6.3,10.0,0
0,1,2,5,11.0,0,28,8,125,4.0,0,0,0,2.0,1579957200,0,0.64,31.24,0.82,0.0011,36.11,5.01,10.0,0
0,1,3,5,11.0,0,28,12,125,4.0,0,0,0,2.0,1579971600,0,0.71,32.47,0.72,0.0014,40.71,6.17,10.0,2
0,1,4,5,11.0,0,28,16,125,4.0,0,0,0,2.0,1579986000,0,0.58,33.14,0.67,0.0,43.4,5.77,10.0,1
0,1,1,5,11.0,0,28,20,125,4.0,0,0,0,2.0,1580000400,0,0.4,30.04,0.74,0.0,37.6,3.8,10.0,0
0,1,1,5,11.0,0,28,23,125,4.0,0,0,0,2.0,1580011200,0,0.78,29.37,0.8,0.0014,34.83,3.83,10.0,0
