BLM,ELM,Sp. Case,Co. Seq.,ID_NUMBER,Sub Route,Ad_Sys,Gov_Cont,Func_Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
0,0.15,0,1,3303556001,0,16,4,14,52,52,30,
0.15,0.44,0,1,3303556001,0,16,4,14,52,52,30,
0.44,3.32,0,1,3303556001,0,18,4,16,52,52,,
3.32,3.48,0,1,3303556001,0,18,4,16,52,52,,
3.48,3.73,0,1,3303556001,0,18,4,14,52,52,,
3.73,4.16,0,1,3303556001,0,18,4,14,52,52,,
4.16,5.05,0,1,3303556001,0,18,4,14,52,52,,
5.05,5.59,0,1,3303556001,0,18,4,14,52,52,,
0,2.14,0,1,3303557001,0,18,4,16,52,52,,
0,0.402,0,1,3303559001,0,18,4,17,52,52,,
0.402,0.55,0,1,3303559001,0,18,4,17,52,52,,
0.55,1.27,0,1,3303559001,0,18,4,17,52,52,,
0,0.12,0,1,3303560001,0,18,4,17,52,52,,
0,0.36,0,1,3303561001,0,18,4,16,52,52,,
0.36,0.62,0,1,3303561001,0,18,4,16,52,52,,
0,1.03,0,1,3303565001,0,18,4,17,52,52,,
1.03,1.09,0,1,3303565001,0,18,4,17,52,52,,
0,0.05,0,1,3303566001,0,18,4,17,52,52,,
0.05,0.37,0,1,3303566001,0,18,4,17,52,52,,
0.37,0.56,0,1,3303566001,0,18,4,17,52,52,,
0.56,1.06,0,1,3303566001,0,18,4,17,52,52,,
0,0.108,0,1,3303570001,0,16,4,16,52,52,30,
0.108,0.18,0,1,3303570001,0,16,4,16,52,52,30,
0.18,0.69,0,1,3303570001,0,16,4,16,52,52,30,
0,0.303,0,1,3303572001,0,18,4,17,52,52,,
0.303,0.31,0,1,3303572001,0,18,4,17,52,52,,
0.31,0.81,0,1,3303572001,0,18,4,17,52,52,,
0.81,1.2,0,1,3303572001,0,18,4,16,52,52,,
0,0.1,0,1,3303573001,0,18,4,16,52,52,,
0.1,0.467,0,1,3303573001,0,18,4,16,52,52,,
0.467,0.547,0,1,3303573001,0,18,4,16,52,52,,
0.547,0.67,0,1,3303573001,0,18,4,16,52,52,,
0,0.18,0,1,3303574001,0,18,4,17,52,52,,
0.18,0.196,0,1,3303574001,0,18,4,17,52,52,,
0.196,0.61,0,1,3303574001,0,18,4,17,52,52,,
0.61,0.962,0,1,3303574001,0,18,4,16,52,52,,
0.962,1.73,0,1,3303574001,0,18,4,16,52,52,,
1.73,2.19,0,1,3303574001,0,18,4,16,52,52,,
0,1.299,0,1,3303576001,0,18,4,16,89,52,,
1.299,1.72,0,1,3303576001,0,18,4,16,52,52,,
0,0.812,0,1,3303577001,0,18,4,16,89,52,,
0.812,1.65,0,1,3303577001,0,18,4,16,52,52,,
1.65,2.525,0,1,3303577001,0,18,4,16,52,52,,
2.525,4.92,0,1,3303577001,0,18,4,16,52,52,,
4.92,5.64,0,1,3303577001,0,18,4,17,52,52,,
0,0.789,0,1,3303578001,0,18,4,16,89,52,,
