BLM,ELM,Co. Seq.,ID NUMBER,Adm. Sys.,Gov. Cont.,Func. Class,Inc Area Nbr,Urb Area Nbr,Sp Systems,State Aid Code
5.999,6.11,1,3302205001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
6.11,6.12,1,3302205001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
6.12,6.28,1,3302205001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,STATE AID SYSTEM
0,0.311,1,3302207001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
0.311,0.35,1,3302207001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,STATE AID SYSTEM
0.35,0.371,1,3302207001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,52 - CHATTANOOGA,52 - CHATTANOOGA,STATE AID SYSTEM
0.371,6.13,1,3302207001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MAJ COL,--,52 - CHATTANOOGA,STATE AID SYSTEM
6.13,7.11,1,3302207001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MAJ COL,--,52 - CHATTANOOGA,STATE AID SYSTEM
0,0.4,1,3302209001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,266 - SIGNAL MOUNTAIN,52 - CHATTANOOGA,--
0.4,0.43,1,3302209001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,266 - SIGNAL MOUNTAIN,52 - CHATTANOOGA,--
0.43,0.89,1,3302209001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,266 - SIGNAL MOUNTAIN,52 - CHATTANOOGA,--
0.89,1.533,1,3302209001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,266 - SIGNAL MOUNTAIN,52 - CHATTANOOGA,--
1.533,2.99,1,3302209001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,266 - SIGNAL MOUNTAIN,52 - CHATTANOOGA,--
0,0.049,1,3302211001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
0.049,0.064,1,3302211001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN COL,--,52 - CHATTANOOGA,STATE AID SYSTEM
0.064,9.37,1,3302211001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33029
0,0.63,1,3302213001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN COL,--,52 - CHATTANOOGA,STATE AID SYSTEM
0,1.19,1,3302215001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN COL,--,52 - CHATTANOOGA,STATE AID SYSTEM
0,3.737,1,3302217001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33014
3.737,3.8,1,3302217001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN COL,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
3.8,4.07,1,3302217001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN COL,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
0,0.24,1,3302219001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
0.24,0.91,1,3302219001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
0.91,1.512,1,3302219001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
1.512,4.271,1,3302219001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,272 - SODDY-DAISY,52 - CHATTANOOGA,STATE AID SYSTEM
4.271,4.294,1,3302219001,18-STP URBAN, NON-STATE SYS.,CO. HWAY AGENCY,U / MIN ART,--,52 - CHATTANOOGA,STATE AID SYSTEM
4.294,5.908,1,3302219001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33015
5.908,6.18,1,3302219001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33015
0,5.45,1,3302221001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33033
0,2.52,1,3302223001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33019
0,1.99,1,3302227001,11-OTHER COUNTY ROADS,CO. HWAY AGENCY,R / MIN COL,--,--,STATE AID SYSTEM,33022
0,2.05,1,3303542001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0,0.41,1,3303546001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0.41,0.42,1,3303546001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0.42,0.88,1,3303546001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0.88,0.958,1,3303546001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0.958,1.04,1,3303546001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
1.04,1.134,1,3303546001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
1.134,1.302,1,3303546001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
1.302,1.37,1,3303546001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
1.37,1.53,1,3303546001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,TN BICYCLE ROUTE
0,0.07,1,3303547001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0.07,0.22,1,3303547001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0.22,0.82,1,3303547001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0,0.865,1,3303548001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0,0.22,1,3303549001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U OTH PRIN  ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0.22,0.43,1,3303549001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0.43,0.599,1,3303549001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U OTH PRIN  ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0.599,0.84,1,3303549001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U OTH PRIN  ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0,0.26,1,3303550001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0.26,0.54,1,3303550001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0.54,0.74,1,3303550001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0,0.21,1,3303551001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MAJ COL,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0.21,0.46,1,3303551001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U OTH PRIN  ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0,0.8,1,3303552001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0.8,1.97,1,3303552001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
1.97,2.27,1,3303552001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
2.27,2.48,1,3303552001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
2.48,2.86,1,3303552001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0,0.54,1,3303553001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
0,0.57,1,3303554001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0.57,0.75,1,3303554001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0.75,2.2,1,3303554001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0,0.15,1,3303556001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U OTH PRIN  ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0.15,0.44,1,3303556001,16-NHS URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U OTH PRIN  ART,52 - CHATTANOOGA,52 - CHATTANOOGA,NHS ADDITION DUE TO MAP-21
0.44,3.32,1,3303556001,18-STP URBAN, NON-STATE SYS.,MUNICIPAL HWAY AGENCY,U / MIN ART,52 - CHATTANOOGA,52 - CHATTANOOGA,--
