BLM,ELM,Special Case,Co. Seq.,Feat Seq Nbr,ID_NUMBER,Feature_Type,Feat_Width,Feature_Composition,
4.98,5.04,0-NONE ,1,13,3301126001,DRAINAGE,,CURB ONLY,
5.04,5.15,0-NONE ,1,8,3301126001,DRAINAGE,,DITCH,
5.04,5.15,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),10,ASPHALT CONCRETE,
5.04,5.15,0-NONE ,1,10,3301126001,PAVEMENT,24,ASPHALT CONCRETE,
5.04,5.15,0-NONE ,1,12,3301126001,RIGHT TURN LANE,12,ASPHALT CONCRETE,
5.04,5.15,0-NONE ,1,13,3301126001,SHOULDER (OUTSIDE),2,GRAVEL,
5.04,5.15,0-NONE ,1,14,3301126001,DRAINAGE,,DITCH,
5.15,5.45,0-NONE ,1,1,3301126001,DRAINAGE,,DITCH,
5.15,5.45,0-NONE ,1,2,3301126001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
5.15,5.45,0-NONE ,1,4,3301126001,PAVEMENT,11,ASPHALT CONCRETE,
5.15,5.45,0-NONE ,1,7,3301126001,2-WAY LT.  TURN LN.,12,ASPHALT CONCRETE,
5.15,5.45,0-NONE ,1,10,3301126001,PAVEMENT,11,ASPHALT CONCRETE,
5.15,5.45,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),2,ASPHALT CONCRETE,
5.15,5.45,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
5.45,5.59,0-NONE ,1,8,3301126001,DRAINAGE,,DITCH,
5.45,5.59,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),3,ASPHALT CONCRETE,
5.45,5.59,0-NONE ,1,10,3301126001,PAVEMENT,24,ASPHALT CONCRETE,
5.45,5.59,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),3,ASPHALT CONCRETE,
5.45,5.59,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
5.59,5.806,0-NONE ,1,8,3301126001,DRAINAGE,,DITCH,
5.59,5.806,0-NONE ,1,9,3301126001,SHOULDER (OUTSIDE),4,ASPHALT CONCRETE,
5.59,5.806,0-NONE ,1,10,3301126001,PAVEMENT,24,ASPHALT CONCRETE,
5.59,5.806,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),14,ASPHALT CONCRETE,
5.59,5.806,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
5.806,6.174,0-NONE ,1,1,3301126001,DRAINAGE,,DITCH,
5.806,6.174,0-NONE ,1,2,3301126001,SHOULDER (OUTSIDE),6,ASPHALT CONCRETE,
5.806,6.174,0-NONE ,1,4,3301126001,PAVEMENT,12,ASPHALT CONCRETE,
5.806,6.174,0-NONE ,1,7,3301126001,2-WAY LT.  TURN LN.,12,ASPHALT CONCRETE,
5.806,6.174,0-NONE ,1,10,3301126001,PAVEMENT,12,ASPHALT CONCRETE,
5.806,6.174,0-NONE ,1,12,3301126001,SHOULDER (OUTSIDE),6,ASPHALT CONCRETE,
5.806,6.174,0-NONE ,1,13,3301126001,DRAINAGE,,DITCH,
6.174,6.7,0-NONE ,1,8,3301126001,DRAINAGE,,DITCH,
