,BLM,ELM,Route
415,0,1.231,330A187001
416,0,0.615,330A188001
417,0,0.142,330A189001
418,0,0.222,330A190001
419,0,0.15,330A191001
420,0,0.233,330A192001
421,0,0.614,330A193001
422,0,0.382,330A194001
423,0,0.153,330A195001
424,0,0.473,330A196001
425,0,0.163,330A197001
426,0,0.546,330A198001
427,0,0.123,330A199001
428,0,0.136,330A200001
429,0,0.494,330A201001
430,0,0.381,330A202001
431,0,0.145,330A203001
432,0,0.676,330A204001
433,0,0.23,330A205001
434,0,0.817,330A206001
435,0,0.225,330A207001
436,0,0.112,330A208001
437,0,0.942,330A209001
438,0,0.207,330A210001
439,0,0.477,330A211001
440,0,0.103,330A212001
441,0,0.259,330A213001
442,0,0.414,330A214001
443,0,0.047,330A215001
444,0,0.167,330A216001
445,0,0.306,330A217001
446,0,0.069,330A218001
447,0,0.215,330A219001
448,0,0.11,330A220001
449,0,0.19,330A221001
450,0,0.205,330A222001
451,0,0.371,330A223001
452,0,0.377,330A224001
453,0,0.124,330A225001
454,0,0.05,330A226001
455,0,0.219,330A227001
456,0,0.25,330A228001
457,0,0.165,330A229001
458,0,0.507,330A230001
459,0,0.325,330A231001
460,0,0.035,330A232001
461,0,0.224,330A233001
462,0,0.408,330A234001
463,0,0.418,330A235001
464,0,0.673,330A236001
465,0,0.066,330A237001
466,0,0.285,330A238001
467,0,0.077,330A239001
468,0,0.181,330A240001
469,0,0.125,330A241001
470,0,0.152,330A242001
471,0,0.134,330A243001
472,0,0.173,330A244001
473,0,0.429,330A245001
474,0,0.064,330A246001
475,0,0.208,330A247001
476,0,0.265,330A248001
477,0,0.112,330A249001
478,0,0.223,330A250001
479,0,0.258,330A251001
480,0,0.156,330A252001
481,0,0.191,330A253001
482,0,0.176,330A254001
483,0,0.253,330A255001
484,0,0.108,330A256001
485,0,0.175,330A257001
486,0,0.167,330A258001
487,0,0.071,330A259001
488,0,0.768,330A260001
489,0,0.5,330A261001
490,0,0.216,330A262001
491,0,0.284,330A263001
492,0,0.36,330A264001
493,0,0.446,330A265001
494,0,0.235,330A266001
495,0,0.488,330A267001
496,0,0.042,330A268001
497,0,0.142,330A269001
498,0,0.496,330A270001
499,0,0.265,330A271001
500,0,0.047,330A272001
501,0,0.054,330A273001
502,0,0.276,330A274001
503,0,0.305,330A275001
504,0,0.077,330A276001
505,0,0.224,330A277001
506,0,0.192,330A278001
507,0,0.166,330A279001
508,0,0.442,330A280001
509,0,0.299,330A281001
510,0,0.098,330A282001
511,0,0.082,330A283001
512,0,0.043,330A284001
513,0,0.033,330A285001
514,0,0.282,330A286001
515,0,0.431,330A287001
516,0,0.047,330A288001
517,0,0.053,330A289001
518,0,0.094,330A290001
519,0,0.108,330A291001
520,0,0.05,330A292001
521,0,0.276,330A293001
