BLM,ELM,Co. Seq.,ID_NUMBER,AADT,DHV,Peak Hour %,Drct Dist.,Pass Car %,SU Truck %,MU Truck %
0,4.86,1,3303630001,2650,11,9,65,98,1,1
0,0.65,1,3303631001,4040,13,11,65,100,0,0
0,2.86,1,3303632001,5370,12,10,65,99,1,0
0,1.551,1,3303633001,8400,11,9,65,98,1,1
1.551,2.31,1,3303633001,4840,13,11,65,98,1,1
0,1.631,1,3303634001,1320,13,11,65,98,1,1
0,1.93,1,3304019001,680,10,8,65,98,1,1
0,1.56,1,3304020001,1180,11,9,65,98,1,1
0,1.35,1,3304021001,1450,14,12,65,98,1,1
1.35,2.48,1,3304021001,220,14,12,65,98,1,1
0,1.04,1,3304022001,3410,11,9,65,98,2,0
0,1.619,1,3304029001,1280,12,10,65,98,2,0
1.619,3.51,1,3304029001,250,14,12,65,98,2,0
0,0.76,1,3304033001,700,11,9,65,98,1,1
0,1.71,1,3304034001,1190,14,12,65,98,1,1
1.71,2.91,1,3304034001,2250,13,11,65,98,1,1
0,0.07,1,3304035001,230,15,13,65,98,1,1
0,1.94,1,3304086001,530,14,12,65,99,1,0
0,0.76,1,3304087001,370,15,13,65,98,2,0
0,1.37,1,3304088001,190,14,12,65,90,2,8
0,1.6,1,3304125001,3040,12,10,65,93,7,0
1.6,3.18,1,3304125001,1610,12,10,65,93,7,0
0,2.09,1,3304126001,560,14,12,65,93,7,0
2.09,3.38,1,3304126001,5530,13,11,65,93,7,0
0,1.28,1,3304127001,800,12,10,65,93,7,0
0,1.96,1,3304128001,1260,12,10,65,93,7,0
0,3.17,1,3304132001,4030,11,9,65,99,0,1
0,0.7,1,3304133001,6100,13,11,65,98,1,1
0.7,3.05,1,3304133001,11250,13,11,65,98,1,1
0,1.45,1,3304134001,7260,15,13,65,98,1,1
0,6.11,1,3304135001,3130,15,13,65,98,1,1
0,2.1,1,3304136001,850,16,14,65,98,1,1
0,3.4,1,3304137001,3240,11,9,65,99,1,0
0,1.78,1,3304138001,3890,11,9,65,99,1,0
0,1.65,1,3304139001,1030,11,9,65,96,4,0
0,2.27,1,3304140001,1300,15,13,65,99,1,0
0,0.7,1,3304141001,5020,13,11,65,98,1,1
0,2.27,1,3304144001,1920,12,10,65,95,5,0
0,2.21,1,3304145001,8400,11,9,65,98,1,1
2.21,4.64,1,3304145001,5850,12,10,65,98,1,1
0,1.02,1,3304146001,1260,15,13,65,99,0,1
0,0.27,1,3304147001,9760,11,9,65,96,1,3
0,0.98,1,3304148001,4380,14,12,65,98,2,0
0.98,2.35,1,3304148001,6800,11,9,65,96,1,3
2.35,4.13,1,3304148001,2790,15,13,65,94,1,5
0,0.06,1,3304149001,4630,12,10,65,96,1,3
0,1.73,1,3304150001,1400,12,10,65,95,1,4
0,0.73,1,3304152001,2520,13,11,65,99,1,0
0,0.44,1,3304157001,660,13,11,65,99,1,0
0,1.83,1,3304416001,2360,12,10,65,98,1,1
0,0.53,1,3304417001,9650,11,9,65,93,3,4
0.53,0.97,1,3304417001,12000,11,9,65,93,3,4
0.97,1.13,1,3304417001,12040,11,9,65,93,3,4
1.13,1.28,1,3304417001,10300,11,9,65,93,3,4
1.28,1.66,1,3304417001,10200,11,9,65,93,3,4
0,0.82,1,3304418001,18530,11,9,65,92,3,5
0.82,2.61,1,3304418001,6740,11,9,65,95,3,2
0,1.73,1,3304420001,4300,14,12,65,95,3,2
0,1.07,1,3304421001,230,14,12,65,93,3,4
0,2.9,1,3304422001,630,13,11,65,98,1,1
2.9,4.35,1,3304422001,4520,13,11,65,98,1,1
4.35,4.89,1,3304422001,1500,13,11,65,97,1,2
0,0.135,1,3304425001,2680,12,10,65,93,4,3
0.135,0.36,1,3304425001,2680,12,10,100,93,4,3
0,1.53,1,3304427001,7550,12,10,65,99,1,0
0,1.31,1,3304428001,4500,12,10,65,93,7,0
0,0.51,1,3304459001,3730,12,10,65,93,4,3
0,1.08,1,3304463001,840,12,10,65,98,1,1
0,1.38,1,3304470001,4660,12,10,65,93,7,0
0,2.14,1,3304476001,4820,13,11,65,95,3,2
0,3.08,1,3304969001,2940,12,10,65,93,7,0
0,5.75,1,3304972001,1930,12,10,65,100,0,0
0,2.41,1,3304975001,12550,11,9,65,98,1,1
0,1.74,1,3304976001,9860,10,8,65,100,0,0
0,2.18,1,3304977001,1010,14,12,65,99,0,1
0,3.79,1,3304978001,390,13,11,65,93,7,0
0,1.26,1,3304979001,2200,11,9,65,95,1,4
0,0.49,1,3304980001,2070,15,13,65,95,1,4
0,1.38,1,3304981001,3550,12,10,65,98,2,0
0,1.01,1,3304982001,3130,13,11,65,98,2,0
0,0.4,1,3304983001,5680,11,9,65,98,2,0
0,6.88,1,3304984001,620,14,12,65,95,3,2
0,0.59,1,3304985001,4180,15,13,65,95,3,2
0,2.19,1,3304986001,5180,13,11,65,95,5,0
0,2.6,1,3304987001,26160,11,9,65,79,3,18
0,3.655,1,3304988001,9540,12,10,65,100,0,0
0,1.08,1,3304989001,17710,12,10,65,100,0,0
0,3.46,1,3304990001,1200,12,10,65,95,5,0
0,1.96,1,3304991001,2090,13,11,65,98,1,1
0,2.82,1,3304992001,720,12,10,65,98,1,1
0,0.72,1,3304995001,4810,12,10,65,95,3,2
0,0.62,1,3304996001,3110,12,10,65,95,3,2
0,3.56,1,3304997001,4330,13,11,65,93,4,3
0,1.11,1,3304998001,4290,11,9,65,98,1,1
0,2.845,1,3304999001,1990,15,13,65,90,2,8
0,1.2,1,3305000001,750,10,8,65,99,1,0
0,0.655,1,3305001001,4740,12,10,65,93,4,3
0,1.205,1,3305003001,3000,11,9,65,95,3,2
0,0.29,1,3305292001,3960,11,9,65,98,2,0
0,0.18,1,3305293001,4200,13,11,65,98,1,1
0,2.71,1,3305297001,2190,15,13,65,93,7,0
0,1.4,1,3305395001,8220,13,11,65,91,4,5
1.4,2.22,1,3305395001,9260,14,12,65,91,4,5
2.22,2.56,1,3305395001,14500,13,11,65,88,3,9
2.56,3.21,1,3305395001,17720,13,11,53,88,3,9
3.21,4.68,1,3305395001,24820,12,10,65,88,3,9
4.68,6.27,1,3305395001,33530,11,9,65,88,3,9
6.27,7.6,1,3305395001,34670,10,8,65,88,3,9
0,0.45,1,3305403001,14420,11,9,65,93,3,4
0.45,1.65,1,3305403001,12830,12,10,65,93,3,4
1.65,2.68,1,3305403001,11610,12,10,65,93,3,4
0,1.07,1,3305404001,12610,13,11,65,88,3,9
1.07,2.26,1,3305404001,9530,14,12,65,93,3,4
2.26,2.84,1,3305404001,11740,15,13,65,93,3,4
0,0.2,1,3305405001,2580,16,14,65,92,3,5
0,5.12,1,3305707001,770,15,13,65,98,1,1
0,3.635,1,3305709001,870,14,12,65,98,1,1
0,0.623,1,3305710001,4120,13,11,65,98,1,1
0,0.429,1,3305711001,3470,13,11,65,95,3,2
0,0.1,1,3305712001,2580,15,13,100,93,4,3
0,0.132,1,3305713001,2180,14,12,65,93,4,3
0,0.142,1,3305714001,1420,13,11,65,93,4,3
0,1.025,1,3305715001,5480,12,10,65,98,1,1
0,1.19,1,3305716001,2290,14,12,65,98,1,1
0,0.424,1,3305717001,120,13,11,65,98,1,1
0,2.26,1,3305719001,2970,11,9,65,90,2,8
0,0.765,1,3305721001,1890,12,10,65,95,3,2
0,0.59,1,3305730001,850,15,13,65,90,2,8
0,0.5,1,3305744001,7310,11,9,65,98,1,1
0,2.72,1,3305745001,10640,12,10,65,98,2,0
0,0.79,1,3305746001,4770,16,14,65,98,2,0
0,0.25,1,3305747001,10600,15,13,65,98,2,0
0.25,0.295,1,3305747001,10600,15,13,65,98,2,0
0.295,1.355,1,3305747001,10600,15,13,65,98,2,0
1.355,1.37,1,3305747001,10600,15,13,65,98,2,0
1.37,2.45,1,3305747001,10600,15,13,65,98,2,0
0,0.668,1,3305763001,3030,0,,,93,2,5
0,1.292,1,3305764001,1440,12,10,65,98,1,1
0,1.116,1,3305765001,8590,0,,,98,1,1
0,1.248,1,3305766001,890,12,10,65,98,1,1
0,0.856,1,3305767001,5680,12,10,65,97,1,2
0,0.355,1,3305768001,2530,0,,,93,4,3
0,0.971,1,3305769001,3260,11,9,65,95,3,2
0.971,1.646,1,3305769001,6650,0,,,95,3,2
0,2.018,1,3305770001,11220,10,8,100,95,3,2
0,2.021,1,3305771001,9090,0,,,94,1,5
0,0.17,1,3305772001,1950,13,11,65,95,5,0
0,0.303,1,3305773001,5050,0,,,93,2,5
0,1.037,1,3305774001,450,13,11,65,93,2,5
0,1.873,1,3305775001,950,14,12,65,93,7,0
0,4.447,1,3305776001,1180,11,9,65,100,0,0
0,7.664,1,3305777001,200,0,,,,,
0,7.893,1,3305778001,400,0,,,98,1,1
0,0.091,1,3305779001,1530,13,11,65,95,5,0
0,0.077,1,3305780001,310,0,,,95,5,0
0,3.437,1,3305781001,2200,11,9,65,95,5,0
0,0.559,1,3305782001,330,14,12,65,97,2,1
0,1.174,1,3305783001,3030,0,,,95,5,0
0,1.044,1,3305784001,2540,13,11,65,95,5,0
0,0.196,1,3305785001,210,0,,,95,5,0
0,1.07,1,3305786001,2540,12,10,65,100,0,0
0,0.995,1,3305787001,4510,0,,,79,3,18
0,0.41,1,3305788001,1100,15,13,65,100,0,0
0,1.188,1,3305789001,3540,0,,,98,2,0
0,0.927,1,3305791001,1430,15,13,65,98,1,1
0,0.074,1,3305792001,3280,14,12,65,92,3,5
0.074,0.136,1,3305792001,3280,14,12,65,92,3,5
0,1.5,1,3305793001,9540,11,9,65,87,2,11
0,0.247,1,3305794001,7350,13,11,65,100,0,0
0,0.185,1,330A718001,210,16,14,65,93,7,0
0,2.693,1,330C031001,1720,12,10,65,98,1,1
0,3.563,1,330C112001,600,11,9,65,97,2,1
0,0.248,1,330E466001,9540,12,10,65,100,0,0
0,1.165,1,330G443001,510,12,10,65,94,6,0
0,0.38,1,330G444001,50,15,13,65,91,8,1
0,0.185,1,330G453001,640,15,13,65,91,8,1
0,1.785,1,330G454001,950,14,12,65,93,7,0
0,0.31,1,33I0024001,46700,8,6,55,59,4,37
0,2.9,2,33I0024002,61260,9,7,57,69,3,28
2.9,4.22,2,33I0024002,65300,9,7,60,71,3,26
4.22,7.52,2,33I0024002,72780,9,7,60,74,2,24
7.52,8.82,2,33I0024002,119490,9,7,60,81,4,15
8.82,9.32,2,33I0024002,120370,9,7,60,81,4,15
9.32,10.06,2,33I0024002,119490,9,7,60,81,4,15
10.06,10.56,2,33I0024002,124270,9,7,60,81,4,15
10.56,12.08,2,33I0024002,118650,9,7,60,81,4,15
12.08,12.59,2,33I0024002,112410,9,7,60,78,4,18
12.59,13.34,2,33I0024002,131710,9,7,60,82,3,15
13.34,14.71,2,33I0024002,134740,9,7,60,82,3,15
0,0.3,1,33I0075001,93840,9,7,60,76,3,21
0.3,1.51,1,33I0075001,108850,9,7,60,79,3,18
1.51,3.43,1,33I0075001,129750,9,7,60,83,2,15
3.43,3.94,1,33I0075001,109980,9,7,60,79,3,18
3.94,5.04,1,33I0075001,90560,9,7,60,75,3,22
5.04,5.62,1,33I0075001,81780,9,7,60,86,3,11
5.62,7.47,1,33I0075001,79990,11,9,60,86,3,11
7.47,8.98,1,33I0075001,74310,0,,,85,3,12
8.98,11.59,1,33I0075001,62800,9,7,55,82,4,14
11.59,15.63,1,33I0075001,62350,9,7,55,76,5,19
0,0.8,1,33I0124001,75180,10,8,60,95,3,2
0.8,1.36,1,33I0124001,73550,10,8,60,95,3,2
1.36,1.95,1,33I0124001,75960,10,8,60,95,3,2
0,2.16,1,33SR002001,4830,12,10,65,98,1,1
2.16,3.19,1,33SR002001,13990,11,9,65,97,1,2
