Latitude,Longitude,Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Probability,Prediction
35.00359696,-85.23459792,23,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555124400,0,4.440546E-06,0
35.00097374,-85.22738626,0,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555041600,0,4.4107437E-06,0
34.99835011,-85.22017508,4,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555056000,0,4.2915344E-06,0
34.99572606,-85.21296438,8,2,1,0,0,0,1,0,0,1,12,19,26,0,7,24,1555070400,0.102,0.00061288476,0
34.9931016,-85.20575415,12,3,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555084800,0,4.529953E-06,0
34.99047672,-85.1985444,16,4,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555099200,0,4.5597553E-06,0
34.98785142,-85.19133512,20,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555113600,0,4.3809414E-06,0
35.05929668,-85.36852937,23,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555124400,0,4.351139E-06,0
35.0566812,-85.36130828,0,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555041600,0,4.4107437E-06,0
35.05406529,-85.35408766,4,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555056000,0,4.3809414E-06,0
35.05144897,-85.34686751,8,2,1,0,0,0,1,0,0,1,13,20,26,0,7,23,1555070400,0.106,0.00031602383,0
35.04883223,-85.33964784,12,3,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555084800,0,4.440546E-06,0
35.04621507,-85.33242865,16,4,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555099200,0,4.3213367E-06,0
35.04359749,-85.32520993,20,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555113600,0,4.3809414E-06,0
35.04097949,-85.31799169,23,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555124400,0,4.440546E-06,0
35.03836108,-85.31077392,0,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555041600,0,4.4107437E-06,0
35.03574225,-85.30355663,4,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555056000,0,4.440546E-06,0
35.033123,-85.29633981,8,2,1,0,0,0,1,0,0,1,14,21,26,0,7,20,1555070400,0.11,0.00019693375,0
35.03050333,-85.28912347,12,3,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555084800,0,4.6789646E-06,0
35.02788325,-85.2819076,16,4,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555099200,0,4.529953E-06,0
35.02526275,-85.27469221,20,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555113600,0,4.440546E-06,0
35.02264183,-85.2674773,23,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555124400,0,4.440546E-06,0
35.0200205,-85.26026286,0,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555041600,0,3.8444996E-06,0
35.01739875,-85.2530489,4,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555056000,0,3.784895E-06,0
35.01477658,-85.24583541,8,2,1,0,0,0,1,0,0,1,15,22,26,0,7,15,1555070400,0.112,0.00010225177,0
35.012154,-85.23862239,12,3,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555084800,0,4.61936E-06,0
35.009531,-85.23140986,16,4,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555099200,0,5.155802E-06,0
35.00690758,-85.2241978,20,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555113600,0,3.784895E-06,0
35.00428375,-85.21698622,23,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555124400,0,3.8146973E-06,0
35.0016595,-85.20977511,0,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555041600,0,4.440546E-06,0
34.99903484,-85.20256448,4,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555056000,0,4.4107437E-06,0
34.99640976,-85.19535432,8,2,1,0,0,0,1,0,0,1,16,23,26,0,7,21,1555070400,0.114,9.569526E-05,0
34.99378427,-85.18814464,12,3,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555084800,0,4.6789646E-06,0
34.99115836,-85.18093544,16,4,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555099200,0,4.4107437E-06,0
34.98853203,-85.17372671,20,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555113600,0,4.440546E-06,0
35.0652344,-85.36534852,23,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555124400,0,4.5001507E-06,0
35.06261872,-85.35812702,0,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555041600,0,3.6358833E-06,0
35.06000261,-85.35090599,4,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555056000,0,3.6358833E-06,0
35.05738609,-85.34368544,8,2,1,0,0,0,1,0,0,1,17,24,26,0,7,12,1555070400,0.116,5.9485435E-05,0
35.05476915,-85.33646537,12,3,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555084800,0,3.874302E-06,0
35.05215179,-85.32924577,16,4,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555099200,0,4.440546E-06,0
35.04953401,-85.32202665,20,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555113600,0,3.695488E-06,0
35.04691582,-85.314808,23,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555124400,0,3.6358833E-06,0
35.04429721,-85.30758982,0,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555041600,0,3.606081E-06,0
35.04167818,-85.30037213,4,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555056000,0,3.606081E-06,0
35.03905873,-85.2931549,8,2,1,0,0,0,1,0,0,1,18,25,26,0,7,7,1555070400,0.118,4.6610832E-05,0
35.03643887,-85.28593816,12,3,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555084800,0,3.874302E-06,0
35.03381858,-85.27872189,16,4,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555099200,0,4.1127205E-06,0
35.03119788,-85.27150609,20,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555113600,0,3.6656857E-06,0
35.02857677,-85.26429077,23,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555124400,0,3.606081E-06,0
35.02595523,-85.25707593,0,1,1,0,0,1,0,0,0,0,19,7,25,0,-1,-1,1555041600,0,0.0007311702,0
35.02333328,-85.24986156,4,1,1,0,0,1,0,0,0,0,19,7,25,0,-1,-1,1555056000,0,0.0013799667,0
35.02071092,-85.24264767,8,2,1,0,0,0,1,0,0,1,19,7,25,0,-1,-1,1555070400,0.059,0.022506535,0
35.01808813,-85.23543426,12,3,1,0,0,1,0,0,0,0,19,7,25,0,-1,-1,1555084800,0,0.016572863,0
35.01546493,-85.22822132,16,4,1,0,0,1,0,0,0,0,19,7,25,0,-1,-1,1555099200,0,0.008618891,0
35.01284132,-85.22100886,20,1,1,0,0,1,0,0,0,0,19,7,25,0,-1,-1,1555113600,0,0.00093373656,0
35.01021729,-85.21379687,23,1,1,0,0,1,0,0,0,0,19,7,25,0,-1,-1,1555124400,0,0.000687629,0
35.00759284,-85.20658536,0,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555041600,0,0.0002528131,0
35.00496798,-85.19937432,4,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555056000,0,0.0005823374,0
35.0023427,-85.19216377,8,2,1,0,0,0,1,0,0,1,20,8,25,0,0,8,1555070400,0.062,0.033329844,0
34.999717,-85.18495369,12,3,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555084800,0,0.0035550892,0
34.99709089,-85.17774408,16,4,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555099200,0,0.0040539205,0
34.99446437,-85.17053495,20,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555113600,0,0.0015858412,0
34.99183743,-85.1633263,23,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555124400,0,0.0015538931,0
34.98921007,-85.15611813,0,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555041600,0,6.0498714E-06,0
34.9865823,-85.14891043,4,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555056000,0,7.212162E-06,0
