Updated On,Latitude,Longitude,Description,DescCode,Grid_Num
2/20/2004 14:12,35.024119,-85.246437, TRAFFIC SIGNAL,7,183
2/20/2004 14:12,35.037995,-85.240153, TRAFFIC SIGNAL,7,221
2/20/2004 14:12,35.047071,-85.23728, TRAFFIC SIGNAL,7,255
2/20/2004 14:12,35.067756,-85.228263, 1-WAY STOP ,1,365
2/20/2004 14:12,35.073426,-85.237831, 1-WAY STOP ,1,364
8/14/2008 9:07,34.995838,-85.237513, TRAFFIC SIGNAL,7,-1
2/14/1997 14:00,35.006225,-85.231913, TRAFFIC SIGNAL,7,105
8/14/2008 9:12,35.007202,-85.23139, TRAFFIC SIGNAL,7,105
3/30/2006 13:27,35.012953,-85.228313, TRAFFIC SIGNAL,7,106
2/14/1997 14:00,35.016665,-85.226244, TRAFFIC SIGNAL,7,106
8/14/2008 9:38,35.043294,-85.219746, TRAFFIC SIGNAL,7,258
6/3/2003 13:58,35.054106,-85.189921, TRAFFIC SIGNAL,7,298
2/18/2010 7:42,35.053626,-85.186254, TRAFFIC SIGNAL,7,298
11/4/2003 13:36,35.052918,-85.180276, TRAFFIC SIGNAL,7,299
6/3/2003 13:43,35.046246,-85.166266, TRAFFIC SIGNAL,7,265
6/3/2003 13:43,35.044879,-85.162469, TRAFFIC SIGNAL,7,266
2/18/2010 7:45,35.0433,-85.158143, TRAFFIC SIGNAL,7,266
6/3/2003 13:43,35.04288,-85.156985, TRAFFIC SIGNAL,7,266
9/23/2013 13:40,35.034199,-85.133318, TRAFFIC SIGNAL,7,236
5/29/2013 14:33,35.016135,-85.125833, 4-WAY STOP,6,159
5/29/2013 14:35,35.000852,-85.132572, TRAFFIC SIGNAL,7,81
8/9/2013 9:52,34.985281,-85.353841, 4-WAY STOP,6,9
8/13/2008 10:42,35.121597,-85.287902, TRAFFIC SIGNAL,7,-1
4/27/2009 13:40,35.118089,-85.279659, TRAFFIC SIGNAL,7,561
8/14/2013 7:52,35.117997,-85.279499, TRAFFIC SIGNAL,7,561
6/4/2003 10:28,35.114579,-85.260941, TRAFFIC SIGNAL,7,539
6/4/2003 10:28,35.113855,-85.260088, TRAFFIC SIGNAL,7,539
9/5/2008 11:34,35.088089,-85.288851, TRAFFIC SIGNAL,7,433
9/5/2008 11:18,35.10142,-85.275801, TRAFFIC SIGNAL,7,504
2/14/1997 14:00,35.104267,-85.273598, TRAFFIC SIGNAL,7,504
2/14/1997 14:00,35.106499,-85.272389, TRAFFIC SIGNAL,7,505
2/14/1997 14:00,35.113855,-85.260088, TRAFFIC SIGNAL,7,539
9/5/2008 11:34,35.114509,-85.256968, TRAFFIC SIGNAL,7,540
2/23/2015 15:35,35.117542,-85.250234, TRAFFIC SIGNAL,7,565
2/23/2015 15:36,35.118528,-85.249778, TRAFFIC SIGNAL,7,565
2/23/2015 15:41,35.123005,-85.248241, TRAFFIC SIGNAL,7,565
2/23/2015 15:41,35.128626,-85.246493, TRAFFIC SIGNAL,7,585
9/24/2013 13:54,35.060958,-85.301494, TRAFFIC SIGNAL,7,318
9/5/2008 9:17,35.069221,-85.28936, TRAFFIC SIGNAL,7,357
9/5/2008 9:06,35.084846,-85.291845, TRAFFIC SIGNAL,7,433
7/21/2017 8:42,35.088089,-85.288851, TRAFFIC SIGNAL,7,433
8/13/2008 10:47,35.062669,-85.308503, TRAFFIC SIGNAL,7,317
2/14/1997 14:00,35.077647,-85.301962, TRAFFIC SIGNAL,7,393
9/5/2008 10:51,35.084846,-85.291845, TRAFFIC SIGNAL,7,433
8/13/2013 16:10,35.151457,-85.218429, TRAFFIC SIGNAL,7,646
7/28/2008 14:42,35.152212,-85.218673, TRAFFIC SIGNAL,7,646
7/28/2008 14:32,35.172805,-85.206291, TRAFFIC SIGNAL,7,675
7/28/2008 14:32,35.188991,-85.189952, TRAFFIC SIGNAL,7,-1
7/28/2008 14:29,35.200594,-85.180399, 1-WAY STOP ,1,-1
7/28/2008 14:19,35.208075,-85.170469, 1-WAY STOP ,1,-1
2/21/2012 10:39,35.13729,-85.236869, TRAFFIC SIGNAL,7,607
2/21/2012 10:39,35.137999,-85.237684, 4-WAY STOP,6,606
2/21/2012 10:26,35.141567,-85.235463, 1-WAY STOP ,1,627
2/21/2012 10:26,35.142797,-85.238495, 1-WAY STOP ,1,606
2/21/2012 10:26,35.141858,-85.24863, TRAFFIC SIGNAL,7,625
8/12/2008 13:36,35.113392,-85.261606, 1-WAY STOP ,1,539
2/14/1997 14:00,35.114579,-85.260941, TRAFFIC SIGNAL,7,539
8/12/2008 13:21,35.121206,-85.258136, TRAFFIC SIGNAL,7,564
8/12/2008 13:20,35.140755,-85.252157, 1-WAY STOP ,1,604
3/7/2012 8:09,35.141858,-85.24863, TRAFFIC SIGNAL,7,625
9/5/2008 10:57,35.107423,-85.326121, 1-WAY YIELD SIGN,2,499
2/10/2004 10:34,35.126624,-85.310307, 2-WAY STOP,3,579
9/25/2013 11:52,35.124796,-85.305464, TRAFFIC SIGNAL,7,579
