Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
450,21,13,0,7,11
451,22,13,0,7,13
452,23,13,0,7,2
453,24,13,0,7,2
454,25,13,0,7,2
455,26,13,0,2,1
456,27,13,1,2,3
457,28,13,1,2,7
458,29,13,0,7,8
459,30,13,0,7,9
460,31,13,0,7,13
461,32,13,0,2,10
462,33,13,1,2,10
463,34,13,0,7,14
464,35,13,0,7,14
465,36,13,0,7,8
466,37,13,0,7,14
467,38,13,0,7,12
468,39,13,0,0,9
469,40,13,0,7,14
470,41,13,0,7,7
471,42,13,0,7,4
472,43,13,0,7,3
473,44,13,0,0,1
474,45,13,0,0,1
475,1,12,0,-1,-1
476,2,12,0,-1,-1
477,3,12,0,-1,-1
478,4,12,0,7,9
479,5,12,0,7,15
480,6,12,0,7,20
481,7,12,0,7,12
482,8,12,0,0,2
483,9,12,0,7,4
484,10,12,0,7,8
485,11,12,1,7,4
486,12,12,0,7,15
487,13,12,0,7,14
488,14,12,0,7,11
489,15,12,0,7,14
490,16,12,0,7,6
491,17,12,0,-1,-1
492,18,12,0,5,4
493,19,12,0,5,2
494,20,12,0,7,2
495,21,12,0,7,7
496,22,12,0,7,11
497,23,12,0,7,7
498,24,12,0,7,9
499,25,12,0,7,8
500,26,12,1,2,4
501,27,12,1,2,4
502,28,12,0,2,1
503,29,12,0,7,6
504,30,12,0,7,4
505,31,12,0,7,4
506,32,12,0,7,13
507,33,12,1,7,7
508,34,12,1,7,8
509,35,12,0,7,12
510,36,12,0,7,17
511,37,12,0,7,12
512,38,12,0,7,13
513,39,12,0,7,14
514,40,12,0,7,17
515,41,12,0,7,16
516,42,12,0,7,9
517,43,12,0,7,7
518,44,12,0,7,5
519,45,12,0,0,4
520,1,11,0,-1,-1
521,2,11,0,-1,-1
522,3,11,0,-1,-1
523,4,11,0,7,1
524,5,11,0,7,10
525,6,11,0,7,11
526,7,11,0,7,10
527,8,11,0,0,2
528,9,11,0,7,6
529,10,11,0,7,12
530,11,11,1,7,9
531,12,11,0,7,19
532,13,11,0,7,15
533,14,11,0,7,16
534,15,11,0,7,13
535,16,11,0,7,9
536,17,11,0,-1,-1
537,18,11,0,5,4
538,19,11,0,5,3
539,20,11,0,7,4
540,21,11,0,7,4
541,22,11,0,7,4
542,23,11,0,7,7
543,24,11,0,2,9
544,25,11,1,7,19
545,26,11,1,7,11
546,27,11,0,5,8
547,28,11,0,5,4
548,29,11,0,7,8
549,30,11,0,7,2
550,31,11,0,7,9
551,32,11,0,7,13
552,33,11,0,7,11
553,34,11,1,7,11
554,35,11,0,7,3
555,36,11,0,7,11
556,37,11,0,7,10
557,38,11,0,7,11
558,39,11,0,7,15
559,40,11,0,7,8
560,41,11,0,7,11
561,42,11,0,7,8
562,43,11,0,7,2
563,44,11,0,7,3
564,45,11,0,0,6
